list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000010,0.000000030,0.333333,0.000000010,0.000000060,0.166667
100001,0.000564739,0.000526929,1.071755,0.000564739,0.000532629,1.060286
200001,0.000642089,0.000608410,1.055356,0.000642089,0.000610099,1.052434
300001,0.000962566,0.000910274,1.057446,0.000962566,0.000916544,1.050213
400001,0.001297847,0.001224849,1.059598,0.001297847,0.001219647,1.064117
500001,0.001658565,0.001555754,1.066084,0.001658565,0.001554483,1.066956
600001,0.002020012,0.001891667,1.067848,0.002020012,0.001877089,1.076141
700001,0.002349105,0.002226355,1.055135,0.002349105,0.002210352,1.062774
800001,0.002768154,0.002640940,1.048170,0.002768154,0.002615843,1.058226
900001,0.003066213,0.002918087,1.050761,0.003066213,0.002887994,1.061710
1000001,0.003423530,0.003260920,1.049866,0.003423530,0.003222872,1.062261
1100001,0.003751418,0.003569486,1.050969,0.003751418,0.003541225,1.059356
1200001,0.004063865,0.003736035,1.087748,0.004063865,0.003638551,1.116891
1300001,0.004198933,0.004016072,1.045532,0.004198933,0.003987313,1.053073
1400001,0.004771655,0.004564009,1.045496,0.004771655,0.004306946,1.107898
1500001,0.004860706,0.004612461,1.053821,0.004860706,0.004592201,1.058470
1600001,0.005199323,0.004972582,1.045598,0.005199323,0.004932974,1.053994
1700001,0.005490077,0.005276422,1.040492,0.005490077,0.005197739,1.056243
1800001,0.005825540,0.005567277,1.046389,0.005825540,0.005523405,1.054701
1900001,0.006191637,0.005878550,1.053259,0.006191637,0.005834855,1.061147
2000001,0.006505012,0.006238564,1.042710,0.006505012,0.006168545,1.054546
2100001,0.006814006,0.006496860,1.048815,0.006814006,0.006442071,1.057735
2200001,0.007157294,0.006818380,1.049706,0.007157294,0.006753925,1.059724
2300001,0.007461426,0.007125698,1.047115,0.007461426,0.007066504,1.055886
2400001,0.007854973,0.007499592,1.047387,0.007854973,0.007431252,1.057019
2500001,0.008157448,0.007807081,1.044878,0.008157448,0.007712699,1.057665
2600001,0.008447632,0.008073595,1.046328,0.008447632,0.007996940,1.056358
2700001,0.008773502,0.008363543,1.049017,0.008773502,0.008285908,1.058846
2800001,0.008987922,0.008580685,1.047460,0.008987922,0.008511916,1.055922
2900001,0.009402508,0.008932351,1.052635,0.009402508,0.008831545,1.064650
3000001,0.009717774,0.009292915,1.045719,0.009717774,0.009201812,1.056072
3100001,0.009998070,0.009533543,1.048726,0.009998070,0.009424175,1.060896
3200001,0.010349034,0.009790241,1.057077,0.010349034,0.009731196,1.063490
3300001,0.010714500,0.010208578,1.049559,0.010714500,0.010083312,1.062597
3400001,0.010921692,0.010442993,1.045839,0.010921692,0.010186457,1.072178
3500001,0.011260649,0.010527896,1.069601,0.011260649,0.010356745,1.087277
3600001,0.011433475,0.010716058,1.066948,0.011433475,0.010585063,1.080152
3700001,0.011818392,0.011119199,1.062882,0.011818392,0.010935912,1.080696
3800001,0.011874372,0.011389517,1.042570,0.011874372,0.011254628,1.055066
3900001,0.012195199,0.011592975,1.051947,0.012195199,0.011475830,1.062686
4000001,0.012554954,0.011936213,1.051837,0.012554954,0.011825591,1.061677
4100001,0.012901040,0.012307735,1.048206,0.012901040,0.012213896,1.056259
4200001,0.013242844,0.012596671,1.051297,0.013242844,0.012444646,1.064140
4300001,0.013483718,0.012827620,1.051147,0.013483718,0.012722126,1.059864
4400001,0.013791049,0.013126070,1.050661,0.013791049,0.013029223,1.058471
4500001,0.014105465,0.013422139,1.050910,0.014105465,0.013255079,1.064155
4600001,0.014477049,0.013743533,1.053372,0.014477049,0.013578803,1.066151
4700001,0.014803121,0.014112449,1.048941,0.014803121,0.013960995,1.060320
4800001,0.015137062,0.014439088,1.048339,0.015137062,0.014256773,1.061745
4900001,0.015466579,0.014795534,1.045355,0.015466579,0.014587623,1.060254
5000000,0.015771042,0.015020463,1.049970,0.015771042,0.014829389,1.063499
