list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds
1,0.000000130,0.000000430,0.000000340,0.000000190,0.000000220
100001,0.003691896,0.001145357,0.000628810,0.000587049,0.000594079
200001,0.006564670,0.001363150,0.000699331,0.000653420,0.000656100
300001,0.010862574,0.001992590,0.001052776,0.000982485,0.000987035
400001,0.015038717,0.002629900,0.001400561,0.001300410,0.001303680
500001,0.020681823,0.003288420,0.001803757,0.001662895,0.001663505
600001,0.025940913,0.003990670,0.002193953,0.002025951,0.002021761
700001,0.029875951,0.004526478,0.002572409,0.002398936,0.002396156
800001,0.035335765,0.005199728,0.002975745,0.002785253,0.002788872
900001,0.040246199,0.005904510,0.003303600,0.003081827,0.003092057
1000001,0.046249941,0.006493069,0.003685796,0.003447132,0.003450532
1100001,0.050023467,0.007229680,0.004057891,0.003806227,0.003801368
1200001,0.056157729,0.007742647,0.004196403,0.003925629,0.003930629
1300001,0.059047514,0.008524199,0.004792833,0.004503428,0.004492478
1400001,0.064156751,0.008570830,0.004895045,0.004581709,0.004575749
1500001,0.069408000,0.009066116,0.005211529,0.004864313,0.004916944
1600001,0.074596750,0.009921250,0.005625085,0.005269410,0.005279810
1700001,0.079679387,0.010325336,0.005926180,0.005566785,0.005563954
1800001,0.085782359,0.011109089,0.006324146,0.005941140,0.005948730
1900001,0.088811614,0.011733018,0.006684341,0.006263595,0.006257725
2000001,0.092463311,0.012473109,0.007034406,0.006596930,0.006600210
2100001,0.100601054,0.012822494,0.007310291,0.006856144,0.006859564
2200001,0.103283661,0.013449544,0.007638166,0.007181979,0.007178839
2300001,0.107769500,0.014103913,0.008013592,0.007546564,0.007553894
2400001,0.114773216,0.014562531,0.008395977,0.007889170,0.007891850
2500001,0.118674565,0.015410361,0.008763692,0.008233164,0.008224394
2600001,0.122669454,0.015953810,0.009116427,0.008556179,0.008550619
2700001,0.129120803,0.016727723,0.009428593,0.008846214,0.008818653
2800001,0.131465799,0.017430044,0.009829828,0.009230620,0.009242100
2900001,0.137476305,0.017791679,0.010155294,0.009511283,0.009479553
3000001,0.142640551,0.018672863,0.010501039,0.009869040,0.009832088
3100001,0.148644730,0.018951805,0.010801603,0.010121342,0.010119193
3200001,0.153600829,0.019659487,0.011136929,0.010461948,0.010396897
3300001,0.155110807,0.019818870,0.011210519,0.010494409,0.010510219
3400001,0.160122906,0.020908937,0.011825409,0.011104708,0.010923386
3500001,0.170305673,0.021188450,0.012110112,0.011132698,0.011131938
3600001,0.173446299,0.021890162,0.012500550,0.011459473,0.011471344
3700001,0.178422218,0.022491510,0.012619211,0.011821128,0.011830429
3800001,0.180555791,0.022358408,0.012872626,0.012110463,0.012107093
3900001,0.189003591,0.023736659,0.013268621,0.012451838,0.012467948
4000001,0.190203328,0.023759689,0.013564034,0.012720332,0.012725773
4100001,0.194057349,0.024893568,0.013989832,0.013097848,0.013105298
4200001,0.199122400,0.024644262,0.014271156,0.013358452,0.013371422
4300001,0.207786270,0.025207641,0.014586620,0.013654126,0.013686367
4400001,0.210934481,0.026174245,0.014920934,0.013992391,0.014001741
4500001,0.215197479,0.026979929,0.015329652,0.014363827,0.014386858
4600001,0.222139401,0.027582377,0.015580486,0.014619461,0.014568330
4700001,0.223813491,0.028168964,0.015963781,0.014943865,0.014944255
4800001,0.244527100,0.028906875,0.016285226,0.015233630,0.015227469
4900001,0.237849058,0.029524347,0.016657072,0.015635726,0.015635767
5000000,0.236225522,0.029405396,0.016965794,0.015866969,0.015826818
