list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000078,0.000000128,0.613699,0.000000078,0.000000208,0.376742
10001,0.000081683,0.000085795,0.952070,0.000081683,0.000079294,1.030129
20001,0.000152241,0.000150092,1.014318,0.000152241,0.000144238,1.055486
30001,0.000218049,0.000215773,1.010547,0.000218049,0.000213887,1.019458
40001,0.000250135,0.000226983,1.101997,0.000250135,0.000229191,1.091379
50001,0.000382084,0.000348019,1.097881,0.000382084,0.000340757,1.121278
60001,0.000415543,0.000404794,1.026554,0.000415543,0.000415871,0.999212
70001,0.000523287,0.000497129,1.052617,0.000523287,0.000492983,1.061471
80001,0.000593820,0.000562686,1.055332,0.000593820,0.000558221,1.063773
90001,0.000684608,0.000636550,1.075498,0.000684608,0.000625229,1.094972
100001,0.000719410,0.000683181,1.053030,0.000719410,0.000666253,1.079785
110001,0.000807725,0.000747872,1.080031,0.000807725,0.000734302,1.099990
120001,0.000889242,0.000823917,1.079286,0.000889242,0.000840482,1.058014
130001,0.000960684,0.000898274,1.069478,0.000960684,0.000897044,1.070944
140001,0.001043898,0.001001880,1.041939,0.001043898,0.000984116,1.060747
150001,0.001118810,0.001032357,1.083744,0.001118810,0.001065137,1.050391
160001,0.001193720,0.001132751,1.053823,0.001193720,0.001126717,1.059467
170001,0.001284614,0.001197366,1.072867,0.001284614,0.001176987,1.091443
180001,0.001259562,0.001181221,1.066322,0.001259562,0.001222571,1.030257
190001,0.001168827,0.001080037,1.082210,0.001168827,0.001071841,1.090486
200001,0.001234232,0.001152074,1.071314,0.001234232,0.001148768,1.074396
210001,0.001212976,0.001152945,1.052068,0.001212976,0.001144386,1.059936
220001,0.001567894,0.001470685,1.066098,0.001567894,0.001417398,1.106178
230001,0.001646498,0.001589012,1.036178,0.001646498,0.001567555,1.050361
240001,0.001651580,0.001586896,1.040762,0.001651580,0.001535824,1.075371
250001,0.001865817,0.001709590,1.091383,0.001865817,0.001674581,1.114199
260001,0.001559996,0.001485022,1.050487,0.001559996,0.001433482,1.088256
270001,0.001708518,0.001581893,1.080047,0.001708518,0.001567079,1.090256
280001,0.001929703,0.001856296,1.039545,0.001929703,0.001819447,1.060599
290001,0.001528274,0.001383977,1.104263,0.001528274,0.001344359,1.136805
300001,0.002273414,0.002135334,1.064665,0.002273414,0.002166935,1.049138
310001,0.001904232,0.001790295,1.063641,0.001904232,0.001699078,1.120744
320001,0.002214685,0.002036311,1.087597,0.002214685,0.001917758,1.154830
330001,0.001950542,0.001813208,1.075741,0.001950542,0.001789607,1.089927
340001,0.002322090,0.002175723,1.067273,0.002322090,0.002128193,1.091109
350001,0.002222770,0.002070501,1.073542,0.002222770,0.002023941,1.098238
360001,0.002281011,0.002130785,1.070503,0.002281011,0.002096110,1.088211
370001,0.002409555,0.002170659,1.110057,0.002409555,0.002152748,1.119293
380001,0.002516351,0.002344235,1.073421,0.002516351,0.002287063,1.100254
390001,0.002304067,0.002177738,1.058009,0.002304067,0.002088349,1.103296
400001,0.002548913,0.002341246,1.088699,0.002548913,0.002278725,1.118570
410001,0.001968408,0.001803606,1.091374,0.001968408,0.001774371,1.109355
420001,0.001785466,0.001619136,1.102727,0.001785466,0.001592719,1.121018
430001,0.002280675,0.002088348,1.092095,0.002280675,0.002088534,1.091998
440001,0.002317111,0.002128376,1.088676,0.002317111,0.002097309,1.104802
450001,0.002041518,0.001862610,1.096052,0.002041518,0.001817113,1.123495
460001,0.002234394,0.001959972,1.140013,0.002234394,0.001924463,1.161048
470001,0.002408511,0.002168203,1.110833,0.002408511,0.002053307,1.172991
480001,0.002683693,0.002414360,1.111555,0.002683693,0.002344656,1.144600
490001,0.002687668,0.002387894,1.125539,0.002687668,0.002256592,1.191030
500001,0.002542591,0.002243506,1.133312,0.002542591,0.002153946,1.180434
510001,0.002392681,0.002122946,1.127057,0.002392681,0.002092740,1.143324
520001,0.002296683,0.002058119,1.115914,0.002296683,0.001956352,1.173962
530001,0.003000103,0.002728647,1.099484,0.003000103,0.002564509,1.169855
540001,0.002137770,0.001890955,1.130524,0.002137770,0.001791006,1.193614
550001,0.002672971,0.002326920,1.148716,0.002672971,0.002221646,1.203149
560001,0.002561571,0.002309702,1.109048,0.002561571,0.002215823,1.156036
570001,0.002660846,0.002409999,1.104086,0.002660846,0.002295350,1.159233
580001,0.002700752,0.002412011,1.119710,0.002700752,0.002312408,1.167939
590001,0.002631580,0.002401500,1.095807,0.002631580,0.002286754,1.150793
600001,0.002456827,0.002146587,1.144527,0.002456827,0.002042419,1.202901
610001,0.002401298,0.002143848,1.120088,0.002401298,0.002043087,1.175328
620001,0.002640791,0.002413052,1.094378,0.002640791,0.002296827,1.149756
630001,0.002025111,0.001765824,1.146836,0.002025111,0.001682165,1.203872
640001,0.002302527,0.001985426,1.159715,0.002302527,0.001851950,1.243299
650001,0.002220358,0.001935504,1.147173,0.002220358,0.001843951,1.204131
660001,0.002595874,0.002349867,1.104690,0.002595874,0.002263907,1.146635
670001,0.002252288,0.001993151,1.130014,0.002252288,0.001949860,1.155102
680001,0.002939589,0.002661515,1.104480,0.002939589,0.002536629,1.158856
690001,0.002466095,0.002217052,1.112331,0.002466095,0.002099025,1.174876
700001,0.003005713,0.002700827,1.112886,0.003005713,0.002563171,1.172654
710001,0.002480699,0.002281717,1.087207,0.002480699,0.002108160,1.176713
720001,0.002387254,0.002092484,1.140871,0.002387254,0.001961766,1.216890
730001,0.002284830,0.001987020,1.149878,0.002284830,0.001937731,1.179126
740001,0.002333145,0.002037684,1.144998,0.002333145,0.001895792,1.230697
750001,0.002721284,0.002441702,1.114503,0.002721284,0.002268973,1.199346
760001,0.002503536,0.002181244,1.147756,0.002503536,0.002076577,1.205607
770001,0.002491493,0.002161171,1.152844,0.002491493,0.002048336,1.216350
780001,0.003009476,0.002578213,1.167272,0.003009476,0.002464549,1.221106
790001,0.002126710,0.001870543,1.136948,0.002126710,0.001795075,1.184747
