list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000063,0.000000114,0.548119,0.000000063,0.000000174,0.359851
5001,0.000039250,0.000038114,1.029812,0.000039250,0.000042948,0.913885
10001,0.000082237,0.000083193,0.988512,0.000082237,0.000078039,1.053790
15001,0.000118828,0.000119067,0.997995,0.000118828,0.000114742,1.035610
20001,0.000149142,0.000143423,1.039874,0.000149142,0.000141443,1.054434
25001,0.000194233,0.000201576,0.963571,0.000194233,0.000179092,1.084542
30001,0.000247151,0.000202314,1.221623,0.000247151,0.000206809,1.195071
35001,0.000247855,0.000242483,1.022154,0.000247855,0.000240281,1.031523
40001,0.000309638,0.000281271,1.100852,0.000309638,0.000306757,1.009392
45001,0.000328331,0.000300185,1.093760,0.000328331,0.000313865,1.046088
50001,0.000364062,0.000345491,1.053751,0.000364062,0.000356723,1.020574
55001,0.000389227,0.000370962,1.049239,0.000389227,0.000366620,1.061664
60001,0.000418201,0.000406417,1.028995,0.000418201,0.000410603,1.018504
65001,0.000451037,0.000437691,1.030492,0.000451037,0.000452233,0.997356
70001,0.000517796,0.000486525,1.064274,0.000517796,0.000515325,1.004797
75001,0.000578970,0.000574380,1.007992,0.000578970,0.000531019,1.090300
80001,0.000538046,0.000509019,1.057026,0.000538046,0.000497486,1.081529
85001,0.000628740,0.000586676,1.071698,0.000628740,0.000577041,1.089594
90001,0.000679449,0.000630696,1.077300,0.000679449,0.000647788,1.048876
95001,0.000720023,0.000665733,1.081549,0.000720023,0.000671721,1.071908
100001,0.000537453,0.000504031,1.066310,0.000537453,0.000488251,1.100771
105001,0.000817047,0.000733274,1.114245,0.000817047,0.000764298,1.069016
110001,0.000851599,0.000793244,1.073565,0.000851599,0.000764937,1.113292
115001,0.000758295,0.000707596,1.071650,0.000758295,0.000738597,1.026669
120001,0.000894444,0.000820207,1.090511,0.000894444,0.000819327,1.091681
125001,0.000927700,0.000847628,1.094466,0.000927700,0.000856783,1.082771
130001,0.000951738,0.000853877,1.114608,0.000951738,0.000868957,1.095265
135001,0.001027955,0.000925530,1.110666,0.001027955,0.000920987,1.116145
140001,0.001025079,0.000932216,1.099615,0.001025079,0.000928508,1.104006
145001,0.001114650,0.001008103,1.105691,0.001114650,0.001037727,1.074127
150001,0.001128925,0.000987258,1.143495,0.001128925,0.000986134,1.144798
155001,0.001250811,0.001110603,1.126245,0.001250811,0.001097343,1.139854
160001,0.001192793,0.001076131,1.108409,0.001192793,0.001101389,1.082989
165001,0.001159439,0.001087770,1.065887,0.001159439,0.001063992,1.089706
170001,0.001254237,0.001180089,1.062833,0.001254237,0.001140673,1.099559
175001,0.000732097,0.000665916,1.099382,0.000732097,0.000658457,1.111837
180001,0.001190454,0.001158701,1.027404,0.001190454,0.001115284,1.067400
185001,0.000970329,0.000894512,1.084758,0.000970329,0.000862379,1.125177
190001,0.001432585,0.001327074,1.079506,0.001432585,0.001353275,1.058606
195001,0.001433883,0.001388212,1.032899,0.001433883,0.001340058,1.070016
200001,0.001087975,0.001018535,1.068176,0.001087975,0.001017178,1.069602
205001,0.001474036,0.001384049,1.065017,0.001474036,0.001419486,1.038429
210001,0.001530346,0.001411676,1.084063,0.001530346,0.001477925,1.035469
215001,0.001411580,0.001316531,1.072197,0.001411580,0.001298730,1.086893
220001,0.001672193,0.001534248,1.089910,0.001672193,0.001570950,1.064447
225001,0.001485359,0.001394580,1.065094,0.001485359,0.001331323,1.115702
230001,0.001355136,0.001268936,1.067931,0.001355136,0.001268923,1.067942
235001,0.001033159,0.000975255,1.059373,0.001033159,0.000939022,1.100251
240001,0.001404343,0.001329553,1.056252,0.001404343,0.001302871,1.077883
245001,0.001807252,0.001667066,1.084091,0.001807252,0.001715332,1.053587
250001,0.001525597,0.001478800,1.031645,0.001525597,0.001416521,1.077003
255001,0.001183962,0.001105376,1.071094,0.001183962,0.001114310,1.062507
260001,0.001633087,0.001497209,1.090755,0.001633087,0.001533192,1.065155
265001,0.001655671,0.001531062,1.081388,0.001655671,0.001538353,1.076262
270001,0.000843863,0.000785915,1.073733,0.000843863,0.000756720,1.115160
275001,0.001722730,0.001534860,1.122402,0.001722730,0.001551521,1.110349
280001,0.001266317,0.001134976,1.115721,0.001266317,0.001136615,1.114112
285001,0.001841710,0.001773210,1.038630,0.001841710,0.001720816,1.070254
290001,0.001605301,0.001438167,1.116213,0.001605301,0.001424581,1.126859
295001,0.001997621,0.001771397,1.127710,0.001997621,0.001798939,1.110444
300001,0.002111027,0.001972483,1.070238,0.002111027,0.001961033,1.076487
305001,0.002206263,0.002053063,1.074620,0.002206263,0.002071140,1.065241
310001,0.001908822,0.001751570,1.089777,0.001908822,0.001681285,1.135335
315001,0.002289523,0.002147756,1.066007,0.002289523,0.002094891,1.092908
320001,0.001790369,0.001697547,1.054680,0.001790369,0.001617334,1.106988
325001,0.002087145,0.001947706,1.071592,0.002087145,0.001906545,1.094726
330001,0.001119079,0.000999159,1.120021,0.001119079,0.000973372,1.149693
335001,0.000894020,0.000800300,1.117107,0.000894020,0.000776267,1.151692
340001,0.001949452,0.001798779,1.083764,0.001949452,0.001736386,1.122707
345001,0.002313330,0.002145224,1.078363,0.002313330,0.002078348,1.113062
350001,0.001687616,0.001544044,1.092984,0.001687616,0.001525344,1.106384
355001,0.002370404,0.002197752,1.078558,0.002370404,0.002124786,1.115596
360001,0.002537523,0.002318014,1.094697,0.002537523,0.002296290,1.105054
365001,0.002175123,0.001962231,1.108495,0.002175123,0.001932724,1.125418
370001,0.002237334,0.002069772,1.080957,0.002237334,0.002044423,1.094360
375001,0.002443275,0.002265084,1.078669,0.002443275,0.002241444,1.090045
380001,0.002439053,0.002240399,1.088669,0.002439053,0.002235551,1.091030
385001,0.002290553,0.002125580,1.077613,0.002290553,0.002082866,1.099713
390001,0.002404435,0.002251015,1.068156,0.002404435,0.002246154,1.070467
395001,0.002735447,0.002562000,1.067700,0.002735447,0.002580945,1.059863
400001,0.002552279,0.002355871,1.083370,0.002552279,0.002385476,1.069924
405001,0.002333548,0.002110818,1.105518,0.002333548,0.002097354,1.112615
410001,0.002350456,0.002193153,1.071724,0.002350456,0.002177112,1.079621
415001,0.002445900,0.002214843,1.104322,0.002445900,0.002229126,1.097246
420001,0.002012378,0.001819043,1.106284,0.002012378,0.001833548,1.097532
425001,0.002134609,0.001956312,1.091139,0.002134609,0.001927580,1.107403
430001,0.002066978,0.001843623,1.121150,0.002066978,0.001828060,1.130694
435001,0.002969139,0.002710062,1.095598,0.002969139,0.002695304,1.101597
440001,0.002902538,0.002645308,1.097240,0.002902538,0.002627516,1.104670
445001,0.002087587,0.001855639,1.124996,0.002087587,0.001851017,1.127805
450001,0.002763844,0.002548547,1.084478,0.002763844,0.002516919,1.098106
455001,0.002499340,0.002316896,1.078745,0.002499340,0.002276468,1.097903
460001,0.002674090,0.002423278,1.103501,0.002674090,0.002366539,1.129958
465001,0.003269779,0.002974100,1.099418,0.003269779,0.002982812,1.096207
470001,0.002896468,0.002701814,1.072046,0.002896468,0.002606844,1.111101
475001,0.001814908,0.001617856,1.121798,0.001814908,0.001596169,1.137040
480001,0.002435937,0.002242205,1.086402,0.002435937,0.002113694,1.152455
485001,0.002622614,0.002355599,1.113353,0.002622614,0.002295299,1.142602
490001,0.001856524,0.001697818,1.093476,0.001856524,0.001616166,1.148721
495001,0.002593924,0.002290318,1.132561,0.002593924,0.002183894,1.187752
500001,0.002494515,0.002248793,1.109268,0.002494515,0.002140566,1.165353
505001,0.002358354,0.002036569,1.158003,0.002358354,0.001977616,1.192524
510001,0.002892610,0.002521470,1.147192,0.002892610,0.002390654,1.209966
515001,0.002874208,0.002542814,1.130326,0.002874208,0.002431472,1.182086
520001,0.002534316,0.002205060,1.149319,0.002534316,0.002151161,1.178115
525001,0.002020816,0.001759344,1.148619,0.002020816,0.001665974,1.212994
530001,0.002752952,0.002437510,1.129412,0.002752952,0.002329018,1.182023
535001,0.002779504,0.002430914,1.143399,0.002779504,0.002315710,1.200282
540001,0.001874653,0.001630081,1.150037,0.001874653,0.001579900,1.186565
545001,0.002717675,0.002396956,1.133803,0.002717675,0.002244407,1.210866
550001,0.002754318,0.002396880,1.149126,0.002754318,0.002305301,1.194776
555001,0.002470497,0.002205090,1.120361,0.002470497,0.002061272,1.198531
560001,0.002691705,0.002348337,1.146217,0.002691705,0.002252393,1.195042
565001,0.002525669,0.002211679,1.141969,0.002525669,0.002068722,1.220884
570001,0.002880803,0.002518403,1.143901,0.002880803,0.002370390,1.215329
575001,0.002935423,0.002529474,1.160487,0.002935423,0.002360610,1.243502
580001,0.002983592,0.002563641,1.163810,0.002983592,0.002401318,1.242481
585001,0.002692312,0.002345093,1.148062,0.002692312,0.002147641,1.253614
590001,0.002909837,0.002548552,1.141761,0.002909837,0.002373425,1.226008
595001,0.002657785,0.002259187,1.176434,0.002657785,0.002100625,1.265235
600001,0.002623211,0.002288147,1.146434,0.002623211,0.002092114,1.253856
605001,0.002266688,0.002019099,1.122623,0.002266688,0.001876629,1.207851
610001,0.002615492,0.002220758,1.177747,0.002615492,0.002039484,1.282428
615001,0.002349113,0.002024397,1.160402,0.002349113,0.001885925,1.245602
620001,0.002823451,0.002522229,1.119427,0.002823451,0.002363191,1.194762
625001,0.002529044,0.002160028,1.170839,0.002529044,0.001977918,1.278640
630001,0.002307013,0.001959500,1.177348,0.002307013,0.001801048,1.280928
635001,0.002516967,0.002174624,1.157426,0.002516967,0.002092823,1.202666
640001,0.002126119,0.001796538,1.183453,0.002126119,0.001693938,1.255133
645001,0.002179554,0.001869021,1.166147,0.002179554,0.001761386,1.237409
650001,0.002802980,0.002340385,1.197658,0.002802980,0.002173629,1.289540
655001,0.002763766,0.002324243,1.189104,0.002763766,0.002139772,1.291617
660001,0.002308481,0.002016368,1.144871,0.002308481,0.001903560,1.212718
665001,0.002347718,0.002046898,1.146964,0.002347718,0.001900290,1.235452
670001,0.002445400,0.002080500,1.175390,0.002445400,0.001964132,1.245028
675001,0.002638694,0.002247433,1.174092,0.002638694,0.002079244,1.269064
680001,0.002218233,0.001911749,1.160316,0.002218233,0.001743705,1.272137
685001,0.002783344,0.002341770,1.188564,0.002783344,0.002177390,1.278294
690001,0.003096523,0.002723102,1.137131,0.003096523,0.002553666,1.212579
695001,0.002226747,0.001884133,1.181842,0.002226747,0.001757962,1.266664
700001,0.002191794,0.001896192,1.155892,0.002191794,0.001738280,1.260898
705001,0.002310536,0.002036415,1.134609,0.002310536,0.001957106,1.180588
710001,0.002250291,0.001905819,1.180748,0.002250291,0.001807250,1.245146
715001,0.002339034,0.001987216,1.177040,0.002339034,0.001845320,1.267549
720001,0.002106379,0.001733483,1.215113,0.002106379,0.001642329,1.282556
725001,0.002133578,0.001809427,1.179145,0.002133578,0.001697603,1.256818
730001,0.002431299,0.002054816,1.183220,0.002431299,0.001926692,1.261904
735001,0.002331978,0.001942823,1.200304,0.002331978,0.001819715,1.281507
740001,0.002395852,0.002030852,1.179728,0.002395852,0.001927928,1.242709
745001,0.002529347,0.002169617,1.165803,0.002529347,0.002068146,1.223002
750001,0.002262151,0.001927552,1.173588,0.002262151,0.001814752,1.246534
755001,0.002063225,0.001719171,1.200128,0.002063225,0.001616971,1.275982
760001,0.001939280,0.001609959,1.204552,0.001939280,0.001543932,1.256066
765001,0.002381644,0.001984128,1.200348,0.002381644,0.001885369,1.263224
770001,0.002038535,0.001713632,1.189599,0.002038535,0.001605025,1.270096
775001,0.002427502,0.002039662,1.190149,0.002427502,0.001910709,1.270472
780001,0.002050280,0.001717695,1.193623,0.002050280,0.001602567,1.279372
785001,0.002236138,0.001863194,1.200164,0.002236138,0.001733765,1.289758
790001,0.002538981,0.002193423,1.157543,0.002538981,0.002122871,1.196013
795001,0.002168874,0.001802617,1.203180,0.002168874,0.001664482,1.303032
800001,0.002610684,0.002218882,1.176577,0.002610684,0.002101064,1.242553
805001,0.002063974,0.001726198,1.195676,0.002063974,0.001618839,1.274972
810001,0.002510712,0.002131733,1.177779,0.002510712,0.002030712,1.236370
815001,0.002165906,0.001803004,1.201276,0.002165906,0.001680986,1.288473
820001,0.002006848,0.001658001,1.210402,0.002006848,0.001579294,1.270724
825001,0.001983451,0.001648521,1.203170,0.001983451,0.001563226,1.268819
830001,0.002267267,0.001851235,1.224732,0.002267267,0.001699716,1.333909
835001,0.001988655,0.001634352,1.216785,0.001988655,0.001539039,1.292141
840001,0.002204530,0.001827517,1.206298,0.002204530,0.001704375,1.293454
845001,0.002084485,0.001735650,1.200982,0.002084485,0.001632252,1.277060
850001,0.002254767,0.001926293,1.170521,0.002254767,0.001844583,1.222373
855001,0.001875344,0.001558433,1.203353,0.001875344,0.001485352,1.262559
860001,0.002569544,0.002148364,1.196047,0.002569544,0.001981762,1.296595
865001,0.002107540,0.001776810,1.186137,0.002107540,0.001628403,1.294237
870001,0.002169433,0.001856392,1.168629,0.002169433,0.001787929,1.213377
875001,0.001925151,0.001614296,1.192564,0.001925151,0.001529964,1.258298
880001,0.002141143,0.001863072,1.149254,0.002141143,0.001835608,1.166449
885001,0.002037237,0.001705138,1.194764,0.002037237,0.001593999,1.278067
890001,0.001904249,0.001627158,1.170292,0.001904249,0.001568290,1.214220
895001,0.001929184,0.001628284,1.184795,0.001929184,0.001549695,1.244879
900001,0.002248996,0.001944603,1.156533,0.002248996,0.001859190,1.209664
905001,0.002357681,0.001973354,1.194758,0.002357681,0.001873254,1.258602
910001,0.002272918,0.001873141,1.213426,0.002272918,0.001765258,1.287585
915001,0.002058506,0.001731421,1.188911,0.002058506,0.001616248,1.273632
920001,0.002023164,0.001702708,1.188203,0.002023164,0.001628895,1.242047
925001,0.002214685,0.001836364,1.206016,0.002214685,0.001723539,1.284963
930001,0.001938843,0.001625483,1.192780,0.001938843,0.001517092,1.278000
935001,0.001977569,0.001659453,1.191700,0.001977569,0.001623727,1.217920
940001,0.002176588,0.001890964,1.151047,0.002176588,0.001837269,1.184687
945001,0.002011848,0.001685275,1.193780,0.002011848,0.001617754,1.243606
950001,0.001994651,0.001685375,1.183506,0.001994651,0.001606244,1.241811
955001,0.002113224,0.001796421,1.176353,0.002113224,0.001718571,1.229640
