list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000065,0.000000100,0.652397,0.000000065,0.000000154,0.425056
100001,0.000708414,0.000670095,1.057185,0.000708414,0.000659025,1.074942
200001,0.001466886,0.001413231,1.037966,0.001466886,0.001374963,1.066855
300001,0.001942043,0.001792232,1.083589,0.001942043,0.001775039,1.094085
400001,0.002497524,0.002312977,1.079788,0.002497524,0.002268611,1.100904
500001,0.002591453,0.002359352,1.098375,0.002591453,0.002261181,1.146062
600001,0.002459973,0.002188259,1.124169,0.002459973,0.002061878,1.193074
700001,0.002227047,0.001935003,1.150927,0.002227047,0.001806219,1.232988
800001,0.002152190,0.001851891,1.162158,0.002152190,0.001718059,1.252688
900001,0.002082350,0.001799297,1.157313,0.002082350,0.001669380,1.247379
1000001,0.002121463,0.001887529,1.123937,0.002121463,0.001791792,1.183990
1100001,0.002150221,0.001973094,1.089771,0.002150221,0.001903007,1.129907
1200001,0.002380351,0.002207003,1.078544,0.002380351,0.002134763,1.115042
1300001,0.002560645,0.002440670,1.049157,0.002560645,0.002364492,1.082958
1400001,0.002682372,0.002580319,1.039551,0.002682372,0.002532904,1.059010
1500001,0.002828849,0.002663988,1.061885,0.002828849,0.002633940,1.073999
1600001,0.002908751,0.002846442,1.021890,0.002908751,0.002817792,1.032280
1700001,0.003092395,0.002997689,1.031593,0.003092395,0.002896962,1.067461
1800001,0.003635223,0.003477389,1.045389,0.003635223,0.003416990,1.063867
1900001,0.003470921,0.003330829,1.042059,0.003470921,0.003332326,1.041591
2000001,0.003602002,0.003501294,1.028763,0.003602002,0.003453384,1.043036
2100001,0.003822251,0.003706573,1.031209,0.003822251,0.003679174,1.038888
2200001,0.003962461,0.003832097,1.034019,0.003962461,0.003801760,1.042270
2300001,0.004263609,0.004090734,1.042260,0.004263609,0.004056605,1.051029
2400001,0.004370034,0.004187315,1.043637,0.004370034,0.004152780,1.052316
2500001,0.004615878,0.004486736,1.028783,0.004615878,0.004467274,1.033265
2600001,0.004696736,0.004552208,1.031749,0.004696736,0.004556913,1.030684
2700001,0.004859012,0.004711786,1.031246,0.004859012,0.004768161,1.019054
2800001,0.005148590,0.005048729,1.019779,0.005148590,0.005106541,1.008234
2900001,0.005341717,0.005316599,1.004725,0.005341717,0.005491790,0.972673
3000001,0.005595652,0.005411372,1.034054,0.005595652,0.005335385,1.048781
3100001,0.006035141,0.005946855,1.014846,0.006035141,0.005933077,1.017203
3200001,0.005957267,0.005807559,1.025778,0.005957267,0.005937096,1.003397
3300001,0.006140984,0.005946789,1.032656,0.006140984,0.005963889,1.029695
3400001,0.006370579,0.006154800,1.035059,0.006370579,0.006220701,1.024093
3500001,0.006321966,0.006138118,1.029952,0.006321966,0.006292559,1.004673
3600001,0.006775516,0.006734112,1.006148,0.006775516,0.006821534,0.993254
3700001,0.007635028,0.007791436,0.979926,0.007635028,0.007662174,0.996457
3800001,0.007177353,0.007196077,0.997398,0.007177353,0.007309317,0.981946
3900001,0.007467392,0.007366917,1.013639,0.007467392,0.007340283,1.017317
4000001,0.007760848,0.007619652,1.018531,0.007760848,0.007608842,1.019978
4100001,0.008539519,0.008110166,1.052940,0.008539519,0.007877491,1.084040
4200001,0.008077856,0.007839556,1.030397,0.008077856,0.007785700,1.037525
4300001,0.008279686,0.007964545,1.039568,0.008279686,0.008173535,1.012987
4400001,0.008483976,0.008138551,1.042443,0.008483976,0.008063863,1.052098
4500001,0.008915634,0.008863424,1.005890,0.008915634,0.008733192,1.020891
4600001,0.009145693,0.008997438,1.016478,0.009145693,0.008856863,1.032611
4700001,0.009174972,0.008838843,1.038029,0.009174972,0.008544815,1.073747
4800001,0.009460731,0.009614892,0.983966,0.009460731,0.009496532,0.996230
4900001,0.009830757,0.009709387,1.012500,0.009830757,0.009359810,1.050316
5000000,0.009547542,0.009257622,1.031317,0.009547542,0.009093247,1.049960
