list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds
1,0.000000337,0.000002981,0.000001007,0.000000532,0.000000484
100001,0.002121003,0.001435824,0.000779826,0.000742616,0.000729100
200001,0.004426099,0.002932033,0.001594799,0.001542152,0.001503481
300001,0.005628550,0.003775128,0.002107287,0.001947242,0.001927891
400001,0.007190795,0.004865688,0.002709071,0.002507994,0.002468897
500001,0.006635836,0.005074498,0.002792985,0.002558391,0.002454397
600001,0.005777085,0.005011001,0.002657099,0.002364445,0.002234354
700001,0.005001118,0.004648026,0.002401521,0.002095070,0.001958724
800001,0.004782377,0.004403224,0.002310608,0.001998065,0.001854631
900001,0.004511550,0.004317892,0.002239179,0.001937928,0.001802526
1000001,0.005061230,0.004335513,0.002279793,0.002035096,0.001939075
1100001,0.005405978,0.004200659,0.002311656,0.002124752,0.002046172
1200001,0.005974394,0.004548726,0.002552004,0.002372515,0.002305223
1300001,0.006444522,0.004898950,0.002752403,0.002627337,0.002542382
1400001,0.006918045,0.005130832,0.002880455,0.002769644,0.002722611
1500001,0.007133884,0.005151199,0.003028453,0.002866525,0.002836402
1600001,0.007500158,0.005376116,0.003120551,0.003060016,0.003024625
1700001,0.007996876,0.005955331,0.003314186,0.003213492,0.003119592
1800001,0.009040746,0.006974757,0.003904905,0.003739514,0.003677375
1900001,0.008816990,0.006613439,0.003718617,0.003581941,0.003576316
2000001,0.009131419,0.006896312,0.003863042,0.003762914,0.003716533
2100001,0.009541619,0.007260009,0.004098642,0.003982996,0.003952902
2200001,0.009987244,0.007190437,0.004252908,0.004123389,0.004087501
2300001,0.010427180,0.008011277,0.004573162,0.004404537,0.004353101
2400001,0.011005997,0.008440827,0.004685642,0.004499814,0.004464309
2500001,0.011501913,0.008781314,0.004952845,0.004821565,0.004804027
2600001,0.011840483,0.008923768,0.005039793,0.004894706,0.004893765
2700001,0.012775243,0.009258699,0.005212340,0.005062271,0.005125680
2800001,0.013737193,0.009889446,0.005525865,0.005436380,0.005495204
2900001,0.014714519,0.009802931,0.005721759,0.005708710,0.005900496
3000001,0.013611468,0.010491875,0.005990945,0.005809393,0.005728474
3100001,0.015390185,0.010990259,0.006473459,0.006394825,0.006374154
3200001,0.015563869,0.011339160,0.006391533,0.006239538,0.006389143
3300001,0.015730817,0.011344492,0.006584478,0.006388092,0.006402303
3400001,0.016300898,0.012001250,0.006832473,0.006612481,0.006672951
3500001,0.016318301,0.011934705,0.006773878,0.006589697,0.006772494
3600001,0.018011554,0.012316213,0.007256417,0.007238353,0.007340512
3700001,0.018741421,0.013429858,0.008182200,0.008370945,0.008225877
3800001,0.019083852,0.013345987,0.007691886,0.007713923,0.007834504
3900001,0.018528279,0.013880821,0.008002305,0.007928968,0.007892835
4000001,0.019146782,0.014612652,0.008320289,0.008196537,0.008151088
4100001,0.019675753,0.015633761,0.009145310,0.008707881,0.008441873
4200001,0.019790317,0.015017998,0.008661920,0.008422621,0.008382202
4300001,0.021340143,0.014945976,0.008857686,0.008557335,0.008782868
4400001,0.020998012,0.016086286,0.009072847,0.008753243,0.008670109
4500001,0.021722532,0.016812874,0.009530705,0.009536985,0.009375533
4600001,0.021835024,0.017439916,0.009810096,0.009679351,0.009531166
4700001,0.021737850,0.017221466,0.009831359,0.009507634,0.009213495
4800001,0.023334987,0.017936002,0.010124411,0.010313053,0.010202173
4900001,0.022969511,0.018282470,0.010546056,0.010447261,0.010079352
5000000,0.023880138,0.017257135,0.010224440,0.009971357,0.009789478
