list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
10000,0.000257092,0.000189771,0.000106115,0.000104339,0.000103420,1.354746,2.422773,2.464014,2.485892
60000,0.001396716,0.000950382,0.000508760,0.000484710,0.000471409,1.469636,2.745334,2.881550,2.962857
110000,0.002486757,0.001638724,0.000908766,0.000856167,0.000864332,1.517496,2.736410,2.904523,2.877086
160000,0.003074203,0.002029006,0.001130057,0.001083167,0.001067430,1.515128,2.720395,2.838162,2.880004
210000,0.003372781,0.002289484,0.001246681,0.001195262,0.001176762,1.473162,2.705409,2.821792,2.866155
260000,0.004514963,0.003026898,0.001681897,0.001568512,0.001545069,1.491614,2.684447,2.878501,2.922175
310000,0.006243935,0.004185534,0.002337628,0.002170356,0.002153156,1.491789,2.671056,2.876918,2.899899
360000,0.005620418,0.003896810,0.002151524,0.001985225,0.001957967,1.442313,2.612297,2.831124,2.870538
410000,0.006534415,0.004464676,0.002472541,0.002301688,0.002248010,1.463581,2.642793,2.838966,2.906755
460000,0.005931936,0.004350167,0.002399739,0.002216177,0.002152730,1.363611,2.471909,2.676652,2.755541
510000,0.005864352,0.004638072,0.002509409,0.002274599,0.002176865,1.264394,2.336946,2.578191,2.693944
560000,0.005912886,0.005032515,0.002658697,0.002405835,0.002261843,1.174936,2.223979,2.457727,2.614189
610000,0.005670894,0.005112274,0.002664992,0.002376692,0.002201997,1.109270,2.127922,2.386045,2.575341
660000,0.005440382,0.005229696,0.002684015,0.002348024,0.002170400,1.040287,2.026957,2.317004,2.506627
710000,0.004969208,0.004692390,0.002408357,0.002100941,0.001964292,1.058993,2.063318,2.365229,2.529771
760000,0.004625447,0.004124239,0.002172282,0.001916258,0.001794287,1.121527,2.129303,2.413791,2.577875
810000,0.004873174,0.004551627,0.002398930,0.002084175,0.001942596,1.070644,2.031395,2.338179,2.508588
860000,0.004449589,0.003925398,0.002128260,0.001878061,0.001766229,1.133538,2.090717,2.369246,2.519260
910000,0.004735326,0.004276044,0.002242505,0.001991368,0.001873052,1.107408,2.111623,2.377926,2.528134
960000,0.005212967,0.004479137,0.002340292,0.002106799,0.002002572,1.163833,2.227486,2.474355,2.603136
1000000,0.005074214,0.004336429,0.002289049,0.002079975,0.001971719,1.170137,2.216734,2.439556,2.573498
