list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
1,0.000000348,0.000003272,0.000001142,0.000000516,0.000000497,0.106506,0.305176,0.675160,0.701107
5001,0.000153538,0.000133291,0.000067200,0.000064455,0.000065481,1.151900,2.284791,2.382070,2.344778
10001,0.000247041,0.000194983,0.000114693,0.000118112,0.000106775,1.266986,2.153932,2.091576,2.313654
15001,0.000357364,0.000275978,0.000148463,0.000150087,0.000141139,1.294903,2.407100,2.381055,2.532009
20001,0.000449327,0.000354264,0.000184995,0.000177601,0.000170858,1.268338,2.428854,2.529983,2.629830
25001,0.000568132,0.000449405,0.000232690,0.000243567,0.000222182,1.264187,2.441581,2.332551,2.557058
30001,0.000635594,0.000528675,0.000283790,0.000240171,0.000239915,1.202238,2.239665,2.646419,2.649243
35001,0.000745749,0.000566278,0.000291648,0.000287991,0.000277010,1.316930,2.557014,2.589488,2.692140
40001,0.000926642,0.000648746,0.000354143,0.000322988,0.000347683,1.428358,2.616574,2.868965,2.665192
45001,0.001009497,0.000697962,0.000375646,0.000345920,0.000358067,1.446350,2.687365,2.918301,2.819299
50001,0.001059450,0.000800644,0.000413883,0.000415274,0.000404261,1.323247,2.559780,2.551209,2.620709
55001,0.001158912,0.000830911,0.000439471,0.000420687,0.000410801,1.394749,2.637065,2.754806,2.821104
60001,0.001243558,0.000915655,0.000487133,0.000460934,0.000459724,1.358107,2.552808,2.697907,2.705010
65001,0.001357532,0.000975950,0.000525383,0.000491204,0.000504476,1.390985,2.583892,2.763681,2.690973
70001,0.001512571,0.001080282,0.000577222,0.000548072,0.000570825,1.400163,2.620433,2.759802,2.649797
75001,0.001625550,0.001175367,0.000642365,0.000640250,0.000592334,1.383015,2.530572,2.538930,2.744313
80001,0.001527512,0.001086650,0.000594099,0.000570573,0.000551216,1.405708,2.571140,2.677156,2.771166
85001,0.001764621,0.001271780,0.000699949,0.000656603,0.000641135,1.387521,2.521072,2.687502,2.752341
90001,0.001927353,0.001419082,0.000755891,0.000704948,0.000719567,1.358168,2.549775,2.734035,2.678491
95001,0.002029218,0.001414955,0.000792043,0.000742531,0.000741093,1.434122,2.562004,2.732840,2.738141
100001,0.001478741,0.001076627,0.000593244,0.000559108,0.000540405,1.373495,2.492635,2.644823,2.736357
105001,0.002336101,0.001579913,0.000891972,0.000810321,0.000838757,1.478626,2.619029,2.882933,2.785195
110001,0.002360875,0.001643504,0.000931956,0.000878009,0.000850840,1.436489,2.533247,2.688894,2.774757
115001,0.002151442,0.001520687,0.000832478,0.000788757,0.000838902,1.414783,2.584382,2.727636,2.564591
120001,0.002523730,0.001765421,0.000980564,0.000907336,0.000907645,1.429535,2.573754,2.781473,2.780525
125001,0.002571036,0.001803378,0.001016858,0.000934803,0.000949071,1.425678,2.528413,2.750350,2.709002
130001,0.002600016,0.001875541,0.001037121,0.000940244,0.000962783,1.386276,2.506955,2.765257,2.700521
135001,0.002860978,0.001963797,0.001122798,0.001022522,0.001019059,1.456860,2.548080,2.797962,2.807471
140001,0.002841022,0.001995418,0.001120811,0.001035424,0.001030052,1.423773,2.534792,2.743825,2.758134
145001,0.003096679,0.002193183,0.001216507,0.001113459,0.001142636,1.411957,2.545551,2.781136,2.710120
150001,0.003032863,0.002132168,0.001227035,0.001099127,0.001082149,1.422432,2.471701,2.759338,2.802630
155001,0.003276851,0.002324377,0.001357588,0.001232757,0.001204840,1.409776,2.413731,2.658149,2.719739
160001,0.003273865,0.002332580,0.001301517,0.001201111,0.001207049,1.403538,2.515423,2.725697,2.712289
165001,0.003277069,0.002277849,0.001265679,0.001193086,0.001177049,1.438668,2.589179,2.746717,2.784141
170001,0.003515564,0.002408540,0.001359946,0.001289690,0.001270043,1.459624,2.585076,2.725898,2.768066
175001,0.001961441,0.001414576,0.000795838,0.000728720,0.000720317,1.386593,2.464625,2.691626,2.723023
180001,0.003409402,0.002414815,0.001300447,0.001270265,0.001227793,1.411869,2.621716,2.684009,2.776853
185001,0.002634924,0.001927762,0.001054451,0.000978286,0.000946526,1.366830,2.498859,2.693408,2.783783
190001,0.004107271,0.002862217,0.001556497,0.001454448,0.001480936,1.434997,2.638792,2.823938,2.773430
195001,0.004053710,0.002867863,0.001581871,0.001519113,0.001464029,1.413495,2.562605,2.668472,2.768872
200001,0.002984964,0.002133962,0.001187726,0.001109239,0.001111792,1.398790,2.513176,2.691001,2.684823
205001,0.004124740,0.002937888,0.001604121,0.001516293,0.001550461,1.403981,2.571341,2.720278,2.660332
210001,0.004227572,0.003031948,0.001660523,0.001542103,0.001613340,1.394342,2.545928,2.741434,2.620384
215001,0.003884407,0.002816290,0.001544158,0.001440144,0.001484453,1.379264,2.515550,2.697235,2.616726
220001,0.004658182,0.003252880,0.001814584,0.001675196,0.001724721,1.432018,2.567079,2.780679,2.700832
225001,0.004106281,0.002965128,0.001610407,0.001528094,0.001463091,1.384858,2.549840,2.687191,2.806580
230001,0.003850499,0.002761840,0.001473226,0.001388261,0.001393207,1.394179,2.613651,2.773613,2.763766
235001,0.002823825,0.002053414,0.001120655,0.001063457,0.001031398,1.375185,2.519800,2.655325,2.737862
240001,0.003903562,0.002840256,0.001532437,0.001448494,0.001418402,1.374370,2.547290,2.694911,2.752084
245001,0.005053862,0.003570487,0.001969428,0.001819365,0.001873221,1.415455,2.566158,2.777816,2.697953
250001,0.004244396,0.003090330,0.001665896,0.001607557,0.001565230,1.373444,2.547816,2.640276,2.711675
255001,0.003287104,0.002263465,0.001298913,0.001206201,0.001217301,1.452244,2.530657,2.725170,2.700321
260001,0.004455570,0.003250330,0.001777850,0.001637859,0.001670842,1.370806,2.506156,2.720362,2.666662
265001,0.004651592,0.003339848,0.001803515,0.001670576,0.001674925,1.392756,2.579182,2.784425,2.777194
270001,0.002301713,0.001667889,0.000918173,0.000855310,0.000825421,1.380016,2.506840,2.691087,2.788531
275001,0.004622866,0.003325390,0.001891059,0.001688258,0.001685611,1.390173,2.444591,2.738246,2.742546
280001,0.003376143,0.002442558,0.001374047,0.001237082,0.001238140,1.382216,2.457079,2.729117,2.726785
285001,0.005029443,0.003669815,0.002009371,0.001922566,0.001871558,1.370490,2.502993,2.616006,2.687303
290001,0.004262673,0.003104730,0.001741711,0.001565089,0.001557998,1.372961,2.447405,2.723598,2.735994
295001,0.005317745,0.003804183,0.002161689,0.001928098,0.001956833,1.397868,2.459996,2.758026,2.717526
300001,0.005841236,0.004213096,0.002287598,0.002140726,0.002133224,1.386447,2.553437,2.728624,2.738220
305001,0.006129372,0.004409990,0.002394550,0.002234127,0.002252794,1.389884,2.559717,2.743519,2.720787
310001,0.005172607,0.003650675,0.002063686,0.001901090,0.001833766,1.416890,2.506489,2.720863,2.820756
315001,0.006233200,0.004489986,0.002477687,0.002337667,0.002286666,1.388245,2.515733,2.666419,2.725889
320001,0.004960418,0.003459364,0.001940765,0.001846000,0.001760532,1.433910,2.555908,2.687117,2.817567
325001,0.005749319,0.004109171,0.002260480,0.002124977,0.002071577,1.399143,2.543407,2.705591,2.775334
330001,0.002920782,0.002163253,0.001209995,0.001087824,0.001058912,1.350181,2.413879,2.684976,2.758286
335001,0.002135232,0.001721799,0.000971008,0.000868251,0.000843167,1.240116,2.198984,2.459234,2.532394
340001,0.005093952,0.003747673,0.002103986,0.001956849,0.001884897,1.359231,2.421095,2.603140,2.702510
345001,0.006179391,0.004555835,0.002510112,0.002351231,0.002254560,1.356368,2.461799,2.628151,2.740841
350001,0.004460939,0.003357526,0.001824918,0.001681715,0.001662585,1.328639,2.444459,2.652613,2.683134
355001,0.006420089,0.004620782,0.002567197,0.002389297,0.002310630,1.389394,2.500817,2.687019,2.778501
360001,0.006880866,0.004946205,0.002752540,0.002521914,0.002514261,1.391141,2.499824,2.728430,2.736735
365001,0.005741716,0.004241912,0.002357214,0.002135523,0.002099409,1.353568,2.435805,2.688670,2.734920
370001,0.006151223,0.004391183,0.002429296,0.002250546,0.002226438,1.400812,2.532101,2.733213,2.762809
375001,0.006556143,0.004852580,0.002650548,0.002456788,0.002433632,1.351063,2.473505,2.668583,2.693974
380001,0.006701312,0.004750715,0.002642745,0.002435108,0.002431460,1.410590,2.535739,2.751957,2.756085
385001,0.006318842,0.004535996,0.002486918,0.002311026,0.002266447,1.393044,2.540833,2.734215,2.787994
390001,0.006796421,0.004748648,0.002609448,0.002452257,0.002443575,1.431233,2.604543,2.771497,2.781344
395001,0.007658894,0.005533684,0.002965229,0.002780341,0.002804970,1.384050,2.582901,2.754660,2.730473
400001,0.007002213,0.005017433,0.002764069,0.002554612,0.002591455,1.395577,2.533299,2.741009,2.702039
405001,0.006195505,0.004562599,0.002528473,0.002298976,0.002283343,1.357889,2.450295,2.694898,2.713349
410001,0.006409930,0.004684053,0.002584650,0.002389106,0.002367274,1.368458,2.479999,2.682983,2.707726
415001,0.006479069,0.004763669,0.002654854,0.002417933,0.002424128,1.360101,2.440462,2.679591,2.672742
420001,0.005436609,0.003907151,0.002170416,0.001980585,0.001990031,1.391451,2.504870,2.744950,2.731922
425001,0.005817513,0.004128781,0.002298262,0.002128481,0.002090055,1.409014,2.531266,2.733176,2.783426
430001,0.005288870,0.003934241,0.002225769,0.002008884,0.001990185,1.344318,2.376199,2.632741,2.657477
435001,0.007776025,0.005811656,0.003201860,0.002953033,0.002927382,1.338005,2.428596,2.633234,2.656307
440001,0.007669557,0.005635831,0.003146414,0.002881870,0.002851134,1.360856,2.437555,2.661312,2.690003
445001,0.005315211,0.004011116,0.002247109,0.002024210,0.002013502,1.325120,2.365355,2.625820,2.639784
450001,0.007241258,0.005384665,0.002982066,0.002797606,0.002756513,1.344793,2.428269,2.588377,2.626963
455001,0.006505570,0.004890967,0.002693243,0.002522955,0.002479100,1.330119,2.415515,2.578552,2.624166
460001,0.006780262,0.005181214,0.002884673,0.002650054,0.002578658,1.308624,2.350444,2.558537,2.629376
465001,0.008303061,0.006291498,0.003522903,0.003248581,0.003246623,1.319727,2.356880,2.555904,2.557445
470001,0.007323883,0.005650766,0.003132156,0.002924316,0.002835261,1.296087,2.338288,2.504477,2.583143
475001,0.004505618,0.003489395,0.001971747,0.001757450,0.001736569,1.291232,2.285089,2.563725,2.594552
480001,0.006091339,0.004767896,0.002626216,0.002427232,0.002304436,1.277574,2.319436,2.509583,2.643310
485001,0.006424839,0.005021602,0.002827805,0.002570339,0.002498237,1.279440,2.272023,2.499608,2.571749
490001,0.004594439,0.003646549,0.001999594,0.001839271,0.001756406,1.259942,2.297686,2.497968,2.615818
495001,0.006095708,0.005134225,0.002800642,0.002487142,0.002388694,1.187269,2.176539,2.450889,2.551900
500001,0.005902345,0.004917485,0.002688336,0.002439945,0.002327982,1.200277,2.195538,2.419048,2.535391
505001,0.005433033,0.004674287,0.002537276,0.002206831,0.002138913,1.162324,2.141286,2.461916,2.540090
510001,0.006555074,0.005710163,0.003114003,0.002748781,0.002607436,1.147966,2.105031,2.384720,2.513993
515001,0.006786281,0.005765726,0.003093985,0.002753456,0.002637153,1.177004,2.193379,2.464641,2.573336
520001,0.005788564,0.005008535,0.002727318,0.002400897,0.002329651,1.155740,2.122439,2.411001,2.484735
525001,0.004931766,0.004005539,0.002177220,0.001922531,0.001810076,1.231236,2.265166,2.565246,2.724618
530001,0.006395792,0.005488425,0.002974224,0.002637879,0.002526901,1.165324,2.150407,2.424596,2.531081
535001,0.006380101,0.005584716,0.002992090,0.002654020,0.002509504,1.142422,2.132323,2.403939,2.542375
540001,0.004514640,0.003809951,0.002018232,0.001767994,0.001712535,1.184960,2.236928,2.553538,2.636232
545001,0.006211807,0.005552419,0.002926498,0.002591411,0.002428473,1.118757,2.122607,2.397075,2.557906
550001,0.006323992,0.005614219,0.002970709,0.002601613,0.002498748,1.126424,2.128782,2.430797,2.530864
555001,0.005515938,0.005002256,0.002661358,0.002386707,0.002231784,1.102690,2.072603,2.311109,2.471537
560001,0.006357139,0.005396685,0.002900068,0.002543307,0.002456239,1.177971,2.192066,2.499556,2.588160
565001,0.005591561,0.005334297,0.002721688,0.002392938,0.002238227,1.048228,2.054446,2.336692,2.498210
570001,0.006348736,0.005972207,0.003101918,0.002725034,0.002567537,1.063047,2.046713,2.329782,2.472694
575001,0.006097103,0.006123383,0.003163859,0.002740461,0.002557073,0.995708,1.927110,2.224846,2.384407
580001,0.006423794,0.006272205,0.003211862,0.002775913,0.002609578,1.024168,2.000022,2.314119,2.461622
585001,0.005589111,0.005669021,0.002902055,0.002538715,0.002332063,0.985904,1.925915,2.201552,2.396639
590001,0.006283666,0.005912265,0.003141125,0.002758880,0.002585316,1.062819,2.000450,2.277614,2.430521
595001,0.005552132,0.005690315,0.002874057,0.002442609,0.002273420,0.975716,1.931810,2.273034,2.442193
600001,0.005570298,0.005653562,0.002834721,0.002481203,0.002264448,0.985272,1.965025,2.244999,2.459892
605001,0.005082708,0.004607588,0.002445404,0.002184317,0.002035481,1.103117,2.078473,2.326909,2.497055
610001,0.005240150,0.005620474,0.002821399,0.002404450,0.002212061,0.932332,1.857288,2.179354,2.368899
615001,0.004953865,0.005063129,0.002538470,0.002214189,0.002039971,0.978420,1.951517,2.237327,2.428399
620001,0.006557081,0.005661098,0.003042861,0.002732870,0.002558703,1.158270,2.154907,2.399339,2.562659
625001,0.005107599,0.005282187,0.002729779,0.002340964,0.002145257,0.966948,1.871067,2.181836,2.380880
630001,0.004723354,0.004857619,0.002489747,0.002120961,0.001953221,0.972360,1.897122,2.226988,2.418239
