list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
1,0.000000337,0.000002981,0.000001007,0.000000532,0.000000484,0.113158,0.335084,0.634172,0.697207
100001,0.002121003,0.001435824,0.000779826,0.000742616,0.000729100,1.477202,2.719841,2.856125,2.909069
200001,0.004426099,0.002932033,0.001594799,0.001542152,0.001503481,1.509567,2.775334,2.870080,2.943901
300001,0.005628550,0.003775128,0.002107287,0.001947242,0.001927891,1.490956,2.670993,2.890524,2.919538
400001,0.007190795,0.004865688,0.002709071,0.002507994,0.002468897,1.477858,2.654339,2.867150,2.912553
500001,0.006635836,0.005074498,0.002792985,0.002558391,0.002454397,1.307683,2.375894,2.593754,2.703652
600001,0.005777085,0.005011001,0.002657099,0.002364445,0.002234354,1.152880,2.174207,2.443315,2.585573
700001,0.005001118,0.004648026,0.002401521,0.002095070,0.001958724,1.075966,2.082480,2.387089,2.553254
800001,0.004782377,0.004403224,0.002310608,0.001998065,0.001854631,1.086108,2.069749,2.393504,2.578614
900001,0.004511550,0.004317892,0.002239179,0.001937928,0.001802526,1.044850,2.014824,2.328027,2.502905
1000001,0.005061230,0.004335513,0.002279793,0.002035096,0.001939075,1.167389,2.220039,2.486974,2.610127
1100001,0.005405978,0.004200659,0.002311656,0.002124752,0.002046172,1.286936,2.338574,2.544287,2.641996
1200001,0.005974394,0.004548726,0.002552004,0.002372515,0.002305223,1.313421,2.341060,2.518169,2.591677
1300001,0.006444522,0.004898950,0.002752403,0.002627337,0.002542382,1.315490,2.341417,2.452872,2.534836
1400001,0.006918045,0.005130832,0.002880455,0.002769644,0.002722611,1.348328,2.401720,2.497810,2.540960
1500001,0.007133884,0.005151199,0.003028453,0.002866525,0.002836402,1.384898,2.355619,2.488687,2.515117
