depth,threshold,mktree_seq,mktree_par,copy_seq,copy_par,mpl_mktree_par,mpl_mktree_seq
20,17,3.178612e-02,5.158734e-03,1.912421e-02,1.291306e-02,0.0493,0.0361
21,17,3.604471e-02,9.364877e-03,7.278392e-02,2.414387e-02,0.1422,0.0647
22,17,1.049297e-01,1.593870e-02,1.189343e-01,3.887275e-02,0.2009,0.1203
23,19,1.789443e-01,2.060976e-02,1.178817e-01,8.405950e-02,0.5506,0.1719
24,19,2.535435e-01,3.555805e-02,2.383907e-01,1.531533e-01,0.8048,0.7019
25,19,4.819201e-01,6.583466e-02,5.069914e-01,3.043245e-01,1.4949,1.1741
26,19,7.812879e-01,1.711255e-01,1.185051e+00,5.457829e-01,1.7069,1.2264
27,19,2.458361e+00,2.733042e-01,1.887796e+00,1.204216e+00,5.1451,3.2282
28,19,3.618022e+00,5.454445e-01,3.782182e+00,2.083580e+00,7.6848,4.7078
29,19,6.672781e+00,1.080453e+00,7.551017e+00,4.304751e+00,14.5164,9.4127
30,19,1.288501e+01,2.077906e+00,1.505205e+01,8.190712e+00,27.8959,19.4152
31,19,2.511030e+01,3.882519e+00,,,,,
