list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000010,0.000000030,0.333333,0.000000010,0.000000060,0.166667
100001,0.000570320,0.000523647,1.089131,0.000570320,0.000538368,1.059350
200001,0.000639510,0.000595627,1.073675,0.000639510,0.000597869,1.069649
300001,0.000965576,0.000899073,1.073968,0.000965576,0.000901882,1.070623
400001,0.001287560,0.001193019,1.079245,0.001287560,0.001194958,1.077494
500001,0.001663994,0.001526853,1.089819,0.001663994,0.001527933,1.089049
600001,0.002026288,0.001865848,1.085988,0.002026288,0.001859770,1.089537
700001,0.002375666,0.002209717,1.075100,0.002375666,0.002200545,1.079581
800001,0.002758232,0.002570842,1.072891,0.002758232,0.002575248,1.071055
900001,0.003061824,0.002846405,1.075681,0.003061824,0.002853645,1.072952
1000001,0.003409736,0.003179290,1.072483,0.003409736,0.003182416,1.071430
1100001,0.003751326,0.003517064,1.066607,0.003751326,0.003512715,1.067928
1200001,0.003883532,0.003622028,1.072198,0.003883532,0.003627606,1.070550
1300001,0.004434919,0.004157136,1.066821,0.004434919,0.004152484,1.068016
1400001,0.004528152,0.004228685,1.070818,0.004528152,0.004223469,1.072140
1500001,0.004833322,0.004489369,1.076615,0.004833322,0.004535168,1.065743
1600001,0.005210831,0.004858329,1.072556,0.005210831,0.004874263,1.069050
1700001,0.005481464,0.005130429,1.068422,0.005481464,0.005127589,1.069014
1800001,0.005854170,0.005474982,1.069258,0.005854170,0.005478317,1.068607
1900001,0.006193535,0.005769839,1.073433,0.006193535,0.005766845,1.073990
2000001,0.006502472,0.006080349,1.069424,0.006502472,0.006076808,1.070047
2100001,0.006772367,0.006311937,1.072946,0.006772367,0.006322977,1.071073
2200001,0.007071838,0.006618201,1.068544,0.007071838,0.006615294,1.069013
2300001,0.007419876,0.006951666,1.067352,0.007419876,0.006958342,1.066328
2400001,0.007772307,0.007270130,1.069074,0.007772307,0.007274916,1.068371
2500001,0.008116402,0.007580999,1.070624,0.008116402,0.007575097,1.071458
2600001,0.008448103,0.007880264,1.072058,0.008448103,0.007891902,1.070477
2700001,0.008721368,0.008151635,1.069892,0.008721368,0.008130415,1.072684
2800001,0.009105154,0.008507158,1.070293,0.009105154,0.008519205,1.068780
2900001,0.009409225,0.008766786,1.073281,0.009409225,0.008738109,1.076803
3000001,0.009733359,0.009099153,1.069699,0.009733359,0.009051528,1.075328
3100001,0.010007761,0.009316965,1.074144,0.010007761,0.009325462,1.073165
3200001,0.010307186,0.009640895,1.069111,0.010307186,0.009582228,1.075657
3300001,0.010387727,0.009659219,1.075421,0.010387727,0.009678457,1.073283
3400001,0.010941821,0.010225516,1.070051,0.010941821,0.010067437,1.086853
3500001,0.011207950,0.010255206,1.092903,0.011207950,0.010252587,1.093183
3600001,0.011589949,0.010543942,1.099205,0.011589949,0.010562793,1.097243
3700001,0.011699536,0.010880147,1.075310,0.011699536,0.010899778,1.073374
3800001,0.011923426,0.011153125,1.069066,0.011923426,0.011143505,1.069989
3900001,0.012294099,0.011473437,1.071527,0.012294099,0.011495760,1.069446
4000001,0.012574013,0.011716721,1.073168,0.012574013,0.011722463,1.072643
4100001,0.012945802,0.012067008,1.072826,0.012945802,0.012072884,1.072304
4200001,0.013224413,0.012293778,1.075700,0.013224413,0.012318852,1.073510
4300001,0.013509660,0.012580431,1.073863,0.013509660,0.012604252,1.071834
4400001,0.013821374,0.012889988,1.072257,0.013821374,0.012906386,1.070894
4500001,0.014202714,0.013217472,1.074541,0.014202714,0.013259875,1.071105
4600001,0.014428184,0.013462471,1.071734,0.014428184,0.013412934,1.075692
4700001,0.014787857,0.013768867,1.074007,0.014787857,0.013768399,1.074043
4800001,0.015074700,0.014037700,1.073873,0.015074700,0.014028944,1.074543
4900001,0.015432496,0.014409353,1.071005,0.015432496,0.014404513,1.071365
5000000,0.015716968,0.014617872,1.075189,0.015716968,0.014595682,1.076823
