list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000031,0.000000131,0.236641,0.000000031,0.000000178,0.174157
100001,0.000155499,0.000149521,1.039981,0.000155499,0.000138730,1.120875
200001,0.000331735,0.000306096,1.083761,0.000331735,0.000296014,1.120673
300001,0.000528437,0.000462715,1.142036,0.000528437,0.000447795,1.180087
400001,0.000709177,0.000623165,1.138024,0.000709177,0.000609165,1.164179
500001,0.000893190,0.000773461,1.154796,0.000893190,0.000759540,1.175962
600001,0.001059290,0.000935519,1.132302,0.001059290,0.000912004,1.161497
700001,0.001248716,0.001092061,1.143449,0.001248716,0.001074817,1.161794
800001,0.001445673,0.001247936,1.158451,0.001445673,0.001228130,1.177134
900001,0.001619596,0.001408921,1.149529,0.001619596,0.001384383,1.169905
1000001,0.001795639,0.001567274,1.145708,0.001795639,0.001540957,1.165275
1100001,0.001969029,0.001737783,1.133070,0.001969029,0.001712617,1.149719
1200001,0.002150727,0.001914642,1.123305,0.002150727,0.001880879,1.143469
1300001,0.002318198,0.002124117,1.091370,0.002318198,0.002048332,1.131749
1400001,0.002506546,0.002304753,1.087555,0.002506546,0.002222953,1.127575
1500001,0.002699876,0.002496529,1.081452,0.002699876,0.002406475,1.121921
1600001,0.002848372,0.002688467,1.059478,0.002848372,0.002589441,1.099995
1700001,0.003035600,0.002890978,1.050025,0.003035600,0.002767469,1.096887
1800001,0.003214731,0.003047247,1.054962,0.003214731,0.002987822,1.075945
1900001,0.003407856,0.003224364,1.056908,0.003407856,0.003167303,1.075949
2000001,0.003580383,0.003415456,1.048288,0.003580383,0.003355847,1.066909
2100001,0.003732176,0.003558730,1.048738,0.003732176,0.003533462,1.056238
2200001,0.003907969,0.003733200,1.046815,0.003907969,0.003710924,1.053099
2300001,0.004100339,0.003928947,1.043623,0.004100339,0.003892764,1.053323
2400001,0.004295631,0.004110308,1.045087,0.004295631,0.004079474,1.052986
2500001,0.004444257,0.004266334,1.041704,0.004444257,0.004246074,1.046674
2600001,0.004664972,0.004444776,1.049540,0.004664972,0.004431609,1.052659
2700001,0.004825843,0.004605742,1.047788,0.004825843,0.004590809,1.051197
2800001,0.004960496,0.004757658,1.042634,0.004960496,0.004768661,1.040228
2900001,0.005208811,0.004956491,1.050907,0.005208811,0.004962547,1.049625
3000001,0.005329448,0.005113985,1.042132,0.005329448,0.005131196,1.038637
3100001,0.005554623,0.005313326,1.045414,0.005554623,0.005283910,1.051233
3200001,0.005735086,0.005482958,1.045984,0.005735086,0.005459836,1.050414
3300001,0.005918107,0.005660340,1.045539,0.005918107,0.005663433,1.044968
3400001,0.006051892,0.005791670,1.044930,0.006051892,0.005854529,1.033711
3500001,0.006240580,0.005952093,1.048468,0.006240580,0.006458507,0.966257
3600001,0.006467288,0.006322599,1.022884,0.006467288,0.006769310,0.955384
3700001,0.006636651,0.006875640,0.965241,0.006636651,0.006952852,0.954522
3800001,0.007129814,0.007140991,0.998435,0.007129814,0.007148949,0.997323
3900001,0.007573884,0.007343808,1.031329,0.007573884,0.007317007,1.035107
4000001,0.007863408,0.007511404,1.046863,0.007863408,0.007487180,1.050250
4100001,0.008031026,0.007718996,1.040424,0.008031026,0.007677942,1.045987
4200001,0.008251056,0.007899865,1.044455,0.008251056,0.007869435,1.048494
4300001,0.008397383,0.008073613,1.040102,0.008397383,0.008072027,1.040307
4400001,0.008590398,0.008232615,1.043459,0.008590398,0.008243419,1.042092
4500001,0.008792098,0.008541097,1.029387,0.008792098,0.008385365,1.048505
4600001,0.008960936,0.008664026,1.034269,0.008960936,0.008560639,1.046760
4700001,0.008734579,0.008355738,1.045339,0.008734579,0.008310920,1.050976
4800001,0.008779116,0.008271241,1.061403,0.008779116,0.008257315,1.063193
4900001,0.009062583,0.008637555,1.049207,0.009062583,0.008435952,1.074281
5000000,0.009282319,0.008895155,1.043525,0.009282319,0.008740194,1.062027
