list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
1,0.000000030,0.000000132,0.227273,0.000000030,0.000000216,0.138889
100001,0.000155804,0.000142980,1.089691,0.000155804,0.000145481,1.070958
200001,0.000331216,0.000307137,1.078398,0.000331216,0.000301488,1.098604
300001,0.000527373,0.000468138,1.126533,0.000527373,0.000455592,1.157555
400001,0.000709816,0.000627765,1.130703,0.000709816,0.000605372,1.172529
500001,0.000895587,0.000796543,1.124342,0.000895587,0.000770040,1.163040
600001,0.001060669,0.000955463,1.110110,0.001060669,0.000926920,1.144294
700001,0.001249169,0.001116119,1.119208,0.001249169,0.001077084,1.159769
800001,0.001446235,0.001291742,1.119601,0.001446235,0.001252070,1.155075
900001,0.001623712,0.001463130,1.109752,0.001623712,0.001416481,1.146300
1000001,0.001794341,0.001626797,1.102990,0.001794341,0.001568772,1.143787
1100001,0.001968048,0.001817031,1.083112,0.001968048,0.001748978,1.125256
1200001,0.002143078,0.002003086,1.069888,0.002143078,0.001931058,1.109795
1300001,0.002323802,0.002214479,1.049367,0.002323802,0.002131095,1.090426
1400001,0.002508777,0.002390465,1.049493,0.002508777,0.002290264,1.095410
1500001,0.002701968,0.002561678,1.054765,0.002701968,0.002500532,1.080557
1600001,0.002831984,0.002738026,1.034316,0.002831984,0.002670927,1.060300
1700001,0.003028832,0.002962941,1.022238,0.003028832,0.002859249,1.059310
1800001,0.003224797,0.003102231,1.039509,0.003224797,0.003062118,1.053126
1900001,0.003415584,0.003273180,1.043506,0.003415584,0.003222438,1.059938
2000001,0.003580969,0.003468922,1.032300,0.003580969,0.003404758,1.051754
2100001,0.003746036,0.003629356,1.032149,0.003746036,0.003586182,1.044575
2200001,0.003947382,0.003811592,1.035626,0.003947382,0.003769792,1.047109
2300001,0.004106767,0.003976495,1.032761,0.004106767,0.003943297,1.041455
2400001,0.004301377,0.004135186,1.040189,0.004301377,0.004106381,1.047486
2500001,0.004471013,0.004319044,1.035186,0.004471013,0.004276876,1.045392
2600001,0.004627410,0.004474541,1.034164,0.004627410,0.004477648,1.033447
2700001,0.004838807,0.004663509,1.037589,0.004838807,0.004634177,1.044157
2800001,0.004973156,0.004815452,1.032750,0.004973156,0.004811490,1.033600
2900001,0.005169197,0.005002228,1.033379,0.005169197,0.004993240,1.035239
3000001,0.005374226,0.005199897,1.033525,0.005374226,0.005156714,1.042180
3100001,0.005544706,0.005359063,1.034641,0.005544706,0.005308281,1.044539
3200001,0.005730979,0.005538554,1.034743,0.005730979,0.005507410,1.040594
3300001,0.005884968,0.005690136,1.034240,0.005884968,0.005676808,1.036668
3400001,0.006075124,0.005876242,1.033845,0.006075124,0.005859436,1.036810
3500001,0.006275560,0.006063457,1.034981,0.006275560,0.006496569,0.965981
3600001,0.006455752,0.006500787,0.993072,0.006455752,0.006789940,0.950782
3700001,0.006646731,0.007044693,0.943509,0.006646731,0.006901088,0.963142
3800001,0.007132701,0.007204088,0.990091,0.007132701,0.007150775,0.997472
3900001,0.007521233,0.007402020,1.016105,0.007521233,0.007364878,1.021230
4000001,0.007863501,0.007581620,1.037180,0.007863501,0.007542980,1.042493
4100001,0.008035916,0.007790004,1.031568,0.008035916,0.007690465,1.044919
4200001,0.008237383,0.007963644,1.034374,0.008237383,0.007893227,1.043601
4300001,0.008418910,0.008148958,1.033127,0.008418910,0.008079680,1.041986
4400001,0.008581192,0.008322907,1.031033,0.008581192,0.008258237,1.039107
4500001,0.008762090,0.008501806,1.030615,0.008762090,0.008397603,1.043404
4600001,0.008926830,0.008715084,1.024296,0.008926830,0.008372863,1.066162
4700001,0.008678078,0.008441826,1.027986,0.008678078,0.008320041,1.043033
4800001,0.008887690,0.008604397,1.032924,0.008887690,0.008477275,1.048414
4900001,0.008896662,0.008540463,1.041707,0.008896662,0.008481142,1.048993
5000000,0.009269756,0.008730351,1.061785,0.009269756,0.008647102,1.072007
