list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
1,0.000000325,0.000002162,0.000000952,0.000000532,0.000000512,0.150324,0.341387,0.610902,0.634766
100001,0.000404415,0.000297703,0.000170605,0.000165684,0.000153848,1.358451,2.370476,2.440881,2.628666
200001,0.000840064,0.000666972,0.000359811,0.000334085,0.000324295,1.259519,2.334737,2.514522,2.590432
300001,0.001274471,0.001020779,0.000569953,0.000503454,0.000487437,1.248528,2.236098,2.531455,2.614637
400001,0.001711851,0.001358522,0.000765393,0.000676003,0.000662448,1.260083,2.236565,2.532313,2.584129
500001,0.002136481,0.001705536,0.000960076,0.000838754,0.000824465,1.252674,2.225325,2.547208,2.591354
600001,0.002562400,0.002046469,0.001141169,0.001012145,0.000988322,1.252108,2.245417,2.531653,2.592677
700001,0.002982253,0.002381849,0.001344004,0.001182754,0.001164382,1.252075,2.218932,2.521448,2.561232
800001,0.003403197,0.002630974,0.001549313,0.001349454,0.001327468,1.293512,2.196585,2.521907,2.563675
900001,0.003798624,0.003026750,0.001736379,0.001521428,0.001495913,1.255017,2.187670,2.496749,2.539335
1000001,0.004234382,0.003428276,0.001927790,0.001696748,0.001668046,1.235135,2.196495,2.495587,2.538528
1100001,0.004613207,0.003749613,0.002119111,0.001873608,0.001845315,1.230316,2.176954,2.462205,2.499956
1200001,0.005059326,0.004071482,0.002304764,0.002068665,0.002031077,1.242625,2.195160,2.445696,2.490957
1300001,0.005454837,0.004422412,0.002491872,0.002292522,0.002208093,1.233453,2.189052,2.379404,2.470384
1400001,0.005888118,0.004745378,0.002688667,0.002482370,0.002396823,1.240811,2.189977,2.371974,2.456634
1500001,0.006358262,0.004895979,0.002891217,0.002684153,0.002593635,1.298670,2.199165,2.368815,2.451487
1600001,0.006702232,0.005360464,0.003056078,0.002895101,0.002786472,1.250308,2.193083,2.315025,2.405275
1700001,0.007188377,0.005780506,0.003253399,0.003104613,0.002979704,1.243555,2.209498,2.315386,2.412447
1800001,0.007566401,0.006112305,0.003446787,0.003279152,0.003216006,1.237897,2.195204,2.307426,2.352732
1900001,0.008075944,0.006456780,0.003651226,0.003471752,0.003407331,1.250770,2.211844,2.326187,2.370167
2000001,0.008494220,0.006826409,0.003838099,0.003673051,0.003611818,1.244317,2.213132,2.312579,2.351785
2100001,0.008901922,0.007107344,0.003998758,0.003826046,0.003797485,1.252496,2.226172,2.326664,2.344163
2200001,0.009395553,0.007170291,0.004190499,0.004016465,0.003985891,1.310345,2.242108,2.339259,2.357203
2300001,0.009627083,0.007720404,0.004395019,0.004220941,0.004190401,1.246966,2.190453,2.280791,2.297413
2400001,0.010182113,0.008190636,0.004600805,0.004420553,0.004385300,1.243141,2.213116,2.303357,2.321874
2500001,0.010507901,0.008484610,0.004764639,0.004585773,0.004565633,1.238466,2.205393,2.291413,2.301521
2600001,0.011037195,0.008853325,0.004991815,0.004782481,0.004759960,1.246672,2.211059,2.307839,2.318758
2700001,0.011441142,0.009195205,0.005172316,0.004953239,0.004934482,1.244251,2.211996,2.309830,2.318611
2800001,0.011868798,0.009485739,0.005326174,0.005116939,0.005127934,1.251225,2.228391,2.319511,2.314538
2900001,0.012393439,0.009468274,0.005575945,0.005331863,0.005336601,1.308944,2.222662,2.324411,2.322347
3000001,0.012642022,0.010057825,0.005710021,0.005491125,0.005520033,1.256934,2.214006,2.302264,2.290208
3100001,0.013220287,0.010569443,0.005948002,0.005711767,0.005682203,1.250803,2.222643,2.314570,2.326613
3200001,0.013952671,0.010892698,0.006143331,0.005895793,0.005864939,1.280920,2.271190,2.366547,2.378997
3300001,0.014859311,0.011243990,0.006339094,0.006085912,0.006092285,1.321534,2.344075,2.441591,2.439037
3400001,0.015312958,0.011561564,0.006492776,0.006232958,0.006281032,1.324471,2.358461,2.456772,2.437968
3500001,0.015622951,0.011843161,0.006688792,0.006397964,0.006921732,1.319154,2.335691,2.441863,2.257087
3600001,0.016197568,0.011787612,0.006926656,0.006797835,0.007248437,1.374118,2.338440,2.382754,2.234629
3700001,0.016475935,0.012444254,0.007102774,0.007414810,0.007435017,1.323979,2.319648,2.222031,2.215992
3800001,0.017110579,0.012992464,0.007623229,0.007647326,0.007644239,1.316962,2.244532,2.237459,2.238363
3900001,0.017391561,0.013264901,0.008117898,0.007845568,0.007828320,1.311096,2.142372,2.216737,2.221621
4000001,0.017967701,0.014025792,0.008376323,0.008035660,0.008025177,1.281047,2.145058,2.235996,2.238916
4100001,0.018399534,0.014591985,0.008570863,0.008252568,0.008220536,1.260934,2.146754,2.229553,2.238240
4200001,0.018820847,0.015303148,0.008785940,0.008449689,0.008424178,1.229868,2.142155,2.227401,2.234146
4300001,0.019315383,0.015325197,0.008948287,0.008636875,0.008648475,1.260368,2.158556,2.236386,2.233386
4400001,0.019497530,0.016113729,0.009170944,0.008821175,0.008822399,1.209995,2.126011,2.210310,2.210003
4500001,0.020238876,0.016705697,0.009380758,0.009148364,0.008966250,1.211495,2.157488,2.212295,2.257229
4600001,0.020459478,0.017022236,0.009590780,0.009307791,0.009167337,1.201927,2.133244,2.198102,2.231780
4700001,0.020547117,0.017159512,0.009348107,0.008986208,0.008941861,1.197418,2.197998,2.286517,2.297857
4800001,0.020675087,0.016949721,0.009414204,0.008899012,0.008884769,1.219789,2.196159,2.323301,2.327026
4900001,0.021013801,0.017286814,0.009735437,0.009285999,0.009081421,1.215597,2.158486,2.262955,2.313933
5000000,0.021455825,0.017030046,0.009947568,0.009551567,0.009399609,1.259881,2.156892,2.246315,2.282630
