list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
1,0.000000300,0.000002128,0.000000957,0.000000605,0.000000511,0.140977,0.313480,0.495868,0.587084
100001,0.000429067,0.000298456,0.000170469,0.000158287,0.000160760,1.437622,2.516980,2.710690,2.668991
200001,0.000889887,0.000664253,0.000359684,0.000334729,0.000329587,1.339681,2.474080,2.658530,2.700006
300001,0.001339617,0.001019666,0.000569053,0.000508565,0.000495390,1.313780,2.354116,2.634112,2.704166
400001,0.001789342,0.001357623,0.000765936,0.000679157,0.000658545,1.317996,2.336151,2.634651,2.717114
500001,0.002259290,0.001709402,0.000961574,0.000860877,0.000834311,1.321684,2.349575,2.624405,2.707971
600001,0.002696523,0.002051552,0.001143221,0.001032058,0.001001672,1.314382,2.358707,2.612763,2.692022
700001,0.003143577,0.002380830,0.001344933,0.001211506,0.001168327,1.320370,2.337348,2.594768,2.690665
800001,0.003605592,0.002637524,0.001550173,0.001390926,0.001351468,1.367037,2.325929,2.592224,2.667908
900001,0.003992484,0.003036371,0.001740791,0.001575486,0.001528641,1.314887,2.293488,2.534129,2.611787
1000001,0.004448577,0.003423492,0.001926117,0.001755818,0.001695563,1.299427,2.309609,2.533621,2.623658
1100001,0.004870094,0.003746749,0.002114831,0.001952193,0.001883100,1.299819,2.302829,2.494679,2.586211
1200001,0.005337260,0.004077231,0.002296877,0.002156919,0.002079803,1.309040,2.323703,2.474483,2.566233
1300001,0.005783437,0.004442067,0.002497835,0.002381266,0.002289367,1.301970,2.315380,2.428724,2.526217
1400001,0.006218834,0.004746987,0.002689819,0.002563469,0.002462743,1.310059,2.311990,2.425945,2.525166
1500001,0.006694139,0.004905597,0.002893810,0.002754412,0.002689536,1.364592,2.313261,2.430333,2.488957
1600001,0.007077005,0.005358167,0.003042482,0.002942881,0.002867403,1.320788,2.326063,2.404788,2.468089
1700001,0.007585659,0.005793529,0.003248977,0.003176721,0.003075330,1.309333,2.334784,2.387890,2.466616
1800001,0.007999136,0.006140335,0.003460493,0.003335014,0.003290643,1.302720,2.311560,2.398531,2.430873
1900001,0.008489906,0.006446804,0.003656792,0.003516070,0.003460486,1.316917,2.321681,2.414601,2.453385
2000001,0.008903466,0.006800636,0.003839044,0.003723585,0.003657678,1.309211,2.319188,2.391101,2.434185
2100001,0.009298762,0.007103019,0.004013691,0.003896799,0.003848950,1.309128,2.316761,2.386257,2.415922
2200001,0.009832035,0.007201828,0.004229036,0.004093913,0.004047325,1.365214,2.324888,2.401623,2.429267
2300001,0.010132130,0.007725231,0.004400210,0.004269823,0.004233644,1.311563,2.302647,2.372963,2.393241
2400001,0.010729144,0.008192621,0.004611449,0.004443590,0.004412937,1.309611,2.326632,2.414522,2.431293
2500001,0.011070784,0.008512188,0.004791818,0.004639638,0.004593373,1.300580,2.310352,2.386131,2.410164
2600001,0.011621636,0.008831267,0.004960922,0.004809214,0.004805069,1.315965,2.342636,2.416535,2.418620
2700001,0.012023421,0.009197494,0.005186611,0.005007343,0.004977844,1.307250,2.318165,2.401158,2.415387
2800001,0.012463457,0.009515446,0.005340298,0.005179919,0.005174817,1.309813,2.333850,2.406110,2.408483
2900001,0.012973659,0.009473291,0.005538763,0.005372238,0.005359104,1.369499,2.342339,2.414945,2.420863
3000001,0.013228784,0.010064609,0.005756065,0.005582643,0.005539703,1.314386,2.298234,2.369627,2.387995
3100001,0.013835234,0.010568194,0.005941617,0.005758050,0.005705129,1.309139,2.328530,2.402764,2.425052
3200001,0.014491815,0.010894345,0.006138985,0.005950076,0.005913545,1.330214,2.360621,2.435568,2.450614
3300001,0.015432510,0.011205865,0.006302091,0.006110693,0.006102207,1.377182,2.448792,2.525493,2.529005
3400001,0.016046974,0.011566685,0.006516067,0.006309555,0.006288756,1.387344,2.462678,2.543281,2.551693
3500001,0.016445677,0.011875530,0.006728226,0.006509726,0.006957284,1.384837,2.444281,2.526324,2.363807
