k	l	list_size	function	(average, median,(lower_bound, upper_bound))
1	1	10000000	add1Recursive	('2.431e-02', '2.419e-02', ('2.401e-02', '2.461e-02'))
1	1	10000000	add1Iterative	('5.620e-03', '5.479e-03', ('5.166e-03', '6.073e-03'))
1	1	20000000	add1Recursive	('4.569e-02', '4.581e-02', ('4.538e-02', '4.600e-02'))
1	1	20000000	add1Iterative	('9.069e-03', '8.879e-03', ('8.778e-03', '9.361e-03'))
1	1	30000000	add1Recursive	('6.861e-02', '6.870e-02', ('6.805e-02', '6.917e-02'))
1	1	30000000	add1Iterative	('1.437e-02', '1.444e-02', ('1.407e-02', '1.466e-02'))
1	1	40000000	add1Recursive	('9.130e-02', '9.143e-02', ('9.066e-02', '9.195e-02'))
1	1	40000000	add1Iterative	('1.886e-02', '1.911e-02', ('1.829e-02', '1.944e-02'))
1	1	50000000	add1Recursive	('1.144e-01', '1.143e-01', ('1.141e-01', '1.147e-01'))
1	1	50000000	add1Iterative	('2.403e-02', '2.404e-02', ('2.308e-02', '2.498e-02'))
1	1	60000000	add1Recursive	('1.366e-01', '1.369e-01', ('1.357e-01', '1.375e-01'))
1	1	60000000	add1Iterative	('2.895e-02', '2.884e-02', ('2.819e-02', '2.971e-02'))
1	1	70000000	add1Recursive	('1.592e-01', '1.597e-01', ('1.583e-01', '1.602e-01'))
1	1	70000000	add1Iterative	('3.389e-02', '3.404e-02', ('3.288e-02', '3.490e-02'))
1	1	80000000	add1Recursive	('1.828e-01', '1.824e-01', ('1.823e-01', '1.833e-01'))
1	1	80000000	add1Iterative	('3.810e-02', '3.831e-02', ('3.699e-02', '3.920e-02'))
1	1	90000000	add1Recursive	('2.045e-01', '2.055e-01', ('2.027e-01', '2.063e-01'))
1	1	90000000	add1Iterative	('4.379e-02', '4.342e-02', ('4.276e-02', '4.482e-02'))
2	1	10000000	add1Recursive	('4.016e-02', '4.020e-02', ('3.991e-02', '4.042e-02'))
2	1	10000000	add1Iterative	('6.167e-03', '6.163e-03', ('6.141e-03', '6.193e-03'))
2	1	20000000	add1Recursive	('8.002e-02', '8.005e-02', ('7.940e-02', '8.064e-02'))
2	1	20000000	add1Iterative	('1.229e-02', '1.228e-02', ('1.225e-02', '1.234e-02'))
2	1	30000000	add1Recursive	('1.191e-01', '1.195e-01', ('1.180e-01', '1.202e-01'))
2	1	30000000	add1Iterative	('1.836e-02', '1.834e-02', ('1.829e-02', '1.844e-02'))
2	1	40000000	add1Recursive	('1.586e-01', '1.597e-01', ('1.572e-01', '1.601e-01'))
2	1	40000000	add1Iterative	('2.452e-02', '2.452e-02', ('2.443e-02', '2.461e-02'))
2	1	50000000	add1Recursive	('1.986e-01', '1.995e-01', ('1.970e-01', '2.002e-01'))
2	1	50000000	add1Iterative	('3.061e-02', '3.059e-02', ('3.052e-02', '3.070e-02'))
2	1	60000000	add1Recursive	('2.397e-01', '2.396e-01', ('2.393e-01', '2.402e-01'))
2	1	60000000	add1Iterative	('3.660e-02', '3.658e-02', ('3.651e-02', '3.669e-02'))
2	1	70000000	add1Recursive	('2.803e-01', '2.799e-01', ('2.796e-01', '2.810e-01'))
2	1	70000000	add1Iterative	('4.273e-02', '4.275e-02', ('4.259e-02', '4.287e-02'))
2	1	80000000	add1Recursive	('3.196e-01', '3.199e-01', ('3.177e-01', '3.216e-01'))
2	1	80000000	add1Iterative	('4.882e-02', '4.880e-02', ('4.867e-02', '4.897e-02'))
2	1	90000000	add1Recursive	('3.584e-01', '3.599e-01', ('3.553e-01', '3.615e-01'))
2	1	90000000	add1Iterative	('5.486e-02', '5.488e-02', ('5.474e-02', '5.498e-02'))
2	2	10000000	add1Recursive	('3.843e-02', '3.856e-02', ('3.810e-02', '3.875e-02'))
2	2	10000000	add1Iterative	('6.055e-03', '6.057e-03', ('6.036e-03', '6.074e-03'))
2	2	20000000	add1Recursive	('7.665e-02', '7.669e-02', ('7.608e-02', '7.723e-02'))
2	2	20000000	add1Iterative	('1.210e-02', '1.206e-02', ('1.202e-02', '1.218e-02'))
2	2	30000000	add1Recursive	('1.149e-01', '1.148e-01', ('1.146e-01', '1.152e-01'))
2	2	30000000	add1Iterative	('1.808e-02', '1.806e-02', ('1.800e-02', '1.816e-02'))
2	2	40000000	add1Recursive	('1.525e-01', '1.531e-01', ('1.514e-01', '1.535e-01'))
2	2	40000000	add1Iterative	('2.395e-02', '2.393e-02', ('2.383e-02', '2.406e-02'))
2	2	50000000	add1Recursive	('1.916e-01', '1.914e-01', ('1.910e-01', '1.921e-01'))
2	2	50000000	add1Iterative	('2.998e-02', '2.997e-02', ('2.989e-02', '3.006e-02'))
2	2	60000000	add1Recursive	('2.308e-01', '2.307e-01', ('2.305e-01', '2.311e-01'))
2	2	60000000	add1Iterative	('3.602e-02', '3.606e-02', ('3.592e-02', '3.612e-02'))
2	2	70000000	add1Recursive	('2.681e-01', '2.691e-01', ('2.662e-01', '2.700e-01'))
2	2	70000000	add1Iterative	('4.188e-02', '4.183e-02', ('4.178e-02', '4.198e-02'))
2	2	80000000	add1Recursive	('3.072e-01', '3.078e-01', ('3.060e-01', '3.084e-01'))
2	2	80000000	add1Iterative	('4.801e-02', '4.794e-02', ('4.782e-02', '4.820e-02'))
2	2	90000000	add1Recursive	('3.448e-01', '3.456e-01', ('3.423e-01', '3.472e-01'))
2	2	90000000	add1Iterative	('5.388e-02', '5.382e-02', ('5.372e-02', '5.404e-02'))
3	1	10000000	add1Recursive	('5.556e-02', '5.561e-02', ('5.515e-02', '5.597e-02'))
3	1	10000000	add1Iterative	('8.269e-03', '8.253e-03', ('8.240e-03', '8.297e-03'))
3	1	20000000	add1Recursive	('1.104e-01', '1.107e-01', ('1.094e-01', '1.114e-01'))
3	1	20000000	add1Iterative	('1.645e-02', '1.644e-02', ('1.639e-02', '1.651e-02'))
3	1	30000000	add1Recursive	('1.654e-01', '1.660e-01', ('1.642e-01', '1.667e-01'))
3	1	30000000	add1Iterative	('2.464e-02', '2.461e-02', ('2.454e-02', '2.474e-02'))
3	1	40000000	add1Recursive	('2.214e-01', '2.219e-01', ('2.202e-01', '2.226e-01'))
3	1	40000000	add1Iterative	('3.276e-02', '3.277e-02', ('3.266e-02', '3.287e-02'))
3	1	50000000	add1Recursive	('2.779e-01', '2.778e-01', ('2.774e-01', '2.784e-01'))
3	1	50000000	add1Iterative	('4.109e-02', '4.111e-02', ('4.101e-02', '4.118e-02'))
3	1	60000000	add1Recursive	('3.329e-01', '3.340e-01', ('3.304e-01', '3.355e-01'))
3	1	60000000	add1Iterative	('4.922e-02', '4.927e-02', ('4.910e-02', '4.933e-02'))
3	1	70000000	add1Recursive	('3.915e-01', '3.919e-01', ('3.906e-01', '3.925e-01'))
3	1	70000000	add1Iterative	('5.742e-02', '5.740e-02', ('5.731e-02', '5.752e-02'))
3	1	80000000	add1Recursive	('4.445e-01', '4.446e-01', ('4.439e-01', '4.451e-01'))
3	1	80000000	add1Iterative	('6.560e-02', '6.552e-02', ('6.541e-02', '6.579e-02'))
3	1	90000000	add1Recursive	('5.005e-01', '5.003e-01', ('4.995e-01', '5.016e-01'))
3	1	90000000	add1Iterative	('7.373e-02', '7.369e-02', ('7.343e-02', '7.402e-02'))
3	2	10000000	add1Recursive	('5.553e-02', '5.555e-02', ('5.508e-02', '5.598e-02'))
3	2	10000000	add1Iterative	('8.334e-03', '8.318e-03', ('8.290e-03', '8.378e-03'))
3	2	20000000	add1Recursive	('1.101e-01', '1.105e-01', ('1.091e-01', '1.111e-01'))
3	2	20000000	add1Iterative	('1.661e-02', '1.662e-02', ('1.656e-02', '1.666e-02'))
3	2	30000000	add1Recursive	('1.658e-01', '1.660e-01', ('1.649e-01', '1.667e-01'))
3	2	30000000	add1Iterative	('2.488e-02', '2.496e-02', ('2.478e-02', '2.498e-02'))
3	2	40000000	add1Recursive	('2.216e-01', '2.216e-01', ('2.213e-01', '2.219e-01'))
3	2	40000000	add1Iterative	('3.306e-02', '3.302e-02', ('3.298e-02', '3.314e-02'))
3	2	50000000	add1Recursive	('2.766e-01', '2.773e-01', ('2.746e-01', '2.787e-01'))
3	2	50000000	add1Iterative	('4.132e-02', '4.128e-02', ('4.118e-02', '4.145e-02'))
3	2	60000000	add1Recursive	('3.334e-01', '3.334e-01', ('3.328e-01', '3.340e-01'))
3	2	60000000	add1Iterative	('4.964e-02', '4.969e-02', ('4.951e-02', '4.978e-02'))
3	2	70000000	add1Recursive	('3.875e-01', '3.887e-01', ('3.846e-01', '3.904e-01'))
3	2	70000000	add1Iterative	('5.780e-02', '5.768e-02', ('5.760e-02', '5.800e-02'))
3	2	80000000	add1Recursive	('4.416e-01', '4.433e-01', ('4.379e-01', '4.452e-01'))
3	2	80000000	add1Iterative	('6.601e-02', '6.596e-02', ('6.580e-02', '6.622e-02'))
3	2	90000000	add1Recursive	('4.966e-01', '4.986e-01', ('4.922e-01', '5.010e-01'))
3	2	90000000	add1Iterative	('7.444e-02', '7.444e-02', ('7.420e-02', '7.469e-02'))
3	3	10000000	add1Recursive	('5.544e-02', '5.553e-02', ('5.519e-02', '5.569e-02'))
3	3	10000000	add1Iterative	('8.872e-03', '8.872e-03', ('8.834e-03', '8.911e-03'))
3	3	20000000	add1Recursive	('1.106e-01', '1.105e-01', ('1.103e-01', '1.109e-01'))
3	3	20000000	add1Iterative	('1.763e-02', '1.760e-02', ('1.756e-02', '1.770e-02'))
3	3	30000000	add1Recursive	('1.661e-01', '1.661e-01', ('1.655e-01', '1.666e-01'))
3	3	30000000	add1Iterative	('2.653e-02', '2.649e-02', ('2.641e-02', '2.664e-02'))
3	3	40000000	add1Recursive	('2.214e-01', '2.211e-01', ('2.208e-01', '2.220e-01'))
3	3	40000000	add1Iterative	('3.531e-02', '3.529e-02', ('3.520e-02', '3.541e-02'))
