k	l	list_size	function	(average, median, (lower_bound, upper_bound))	Total Instructions	L2 Data Cache Misses
1	1	10000000	add1RecursiveInPlace	6.622e-03, 7.840e-03, (5.729e-03, 7.516e-03)	40001685.809523806	16274.619047619048
1	1	10000000	add1RecursiveOutOfPlace	3.557e-02, 3.861e-02, (3.322e-02, 3.792e-02)	80013891.14285715	23749.285714285714
1	1	10000000	add1IterativeInPlace	6.883e-03, 7.794e-03, (6.066e-03, 7.700e-03)	40001684.52380952	16286.333333333334
1	1	10000000	add1IterativeOutOfPlace	3.557e-02, 3.868e-02, (3.358e-02, 3.756e-02)	80013893.04761904	23518.428571428572
1	1	10000000	add1IterativeOptInPlace	2.432e-03, 2.500e-03, (2.348e-03, 2.516e-03)	9376637.523809524	16715.333333333332
1	1	10000000	add1IterativeOptOutOfPlace	2.195e-05, 2.400e-05, (1.938e-05, 2.453e-05)	101683.19047619047	71.19047619047619
1	1	20000000	add1RecursiveInPlace	8.293e-03, 8.236e-03, (8.205e-03, 8.380e-03)	80001682.33333333	32546.904761904763
1	1	20000000	add1RecursiveOutOfPlace	5.770e-02, 5.768e-02, (5.763e-02, 5.776e-02)	160026099.47619048	45777.28571428572
1	1	20000000	add1IterativeInPlace	8.225e-03, 8.226e-03, (8.191e-03, 8.259e-03)	80001681.04761904	31963.238095238095
1	1	20000000	add1IterativeOutOfPlace	5.784e-02, 5.762e-02, (5.757e-02, 5.812e-02)	160026100.3809524	46320.95238095238
1	1	20000000	add1IterativeOptInPlace	4.361e-03, 4.336e-03, (4.294e-03, 4.428e-03)	18751635.38095238	28934.428571428572
1	1	20000000	add1IterativeOptOutOfPlace	4.686e-05, 4.800e-05, (4.324e-05, 5.047e-05)	201683.04761904763	71.52380952380952
1	1	30000000	add1RecursiveInPlace	1.233e-02, 1.234e-02, (1.227e-02, 1.239e-02)	120001682.0	48020.619047619046
1	1	30000000	add1RecursiveOutOfPlace	8.651e-02, 8.648e-02, (8.642e-02, 8.660e-02)	240038307.6190476	68576.14285714286
1	1	30000000	add1IterativeInPlace	1.235e-02, 1.236e-02, (1.231e-02, 1.239e-02)	120001684.71428572	48210.28571428572
1	1	30000000	add1IterativeOutOfPlace	8.631e-02, 8.631e-02, (8.620e-02, 8.641e-02)	240038312.52380952	69205.42857142857
1	1	30000000	add1IterativeOptInPlace	6.394e-03, 6.383e-03, (6.376e-03, 6.413e-03)	28126632.523809522	41604.857142857145
1	1	30000000	add1IterativeOptOutOfPlace	6.843e-05, 7.000e-05, (6.326e-05, 7.359e-05)	301683.09523809527	77.71428571428571
1	1	40000000	add1RecursiveInPlace	1.642e-02, 1.639e-02, (1.637e-02, 1.647e-02)	160001681.76190478	63824.28571428572
1	1	40000000	add1RecursiveOutOfPlace	1.151e-01, 1.152e-01, (1.150e-01, 1.153e-01)	320050521.7619048	92137.90476190476
1	1	40000000	add1IterativeInPlace	1.651e-02, 1.646e-02, (1.643e-02, 1.658e-02)	160001683.0	64678.23809523809
1	1	40000000	add1IterativeOutOfPlace	1.149e-01, 1.149e-01, (1.147e-01, 1.151e-01)	320050522.1904762	93788.47619047618
1	1	40000000	add1IterativeOptInPlace	8.516e-03, 8.513e-03, (8.501e-03, 8.531e-03)	37501636.71428572	55253.47619047619
1	1	40000000	add1IterativeOptOutOfPlace	8.267e-05, 9.300e-05, (7.212e-05, 9.321e-05)	401683.0	67.33333333333333
1	1	50000000	add1RecursiveInPlace	2.055e-02, 2.054e-02, (2.049e-02, 2.060e-02)	200001685.23809522	80001.0
1	1	50000000	add1RecursiveOutOfPlace	1.438e-01, 1.437e-01, (1.436e-01, 1.439e-01)	400062726.61904764	119505.38095238095
1	1	50000000	add1IterativeInPlace	2.056e-02, 2.051e-02, (2.050e-02, 2.063e-02)	200001686.47619048	80154.38095238095
1	1	50000000	add1IterativeOutOfPlace	1.434e-01, 1.434e-01, (1.433e-01, 1.436e-01)	400062731.2380952	118584.57142857143
1	1	50000000	add1IterativeOptInPlace	1.064e-02, 1.063e-02, (1.061e-02, 1.066e-02)	46876637.0952381	69069.71428571429
1	1	50000000	add1IterativeOptOutOfPlace	1.165e-04, 1.160e-04, (1.102e-04, 1.229e-04)	501683.1904761905	72.71428571428571
1	1	60000000	add1RecursiveInPlace	2.461e-02, 2.455e-02, (2.453e-02, 2.468e-02)	240001685.23809522	95413.61904761905
1	1	60000000	add1RecursiveOutOfPlace	1.723e-01, 1.723e-01, (1.722e-01, 1.725e-01)	480074935.52380955	136561.38095238095
1	1	60000000	add1IterativeInPlace	2.459e-02, 2.460e-02, (2.454e-02, 2.464e-02)	240001687.47619048	95399.33333333333
1	1	60000000	add1IterativeOutOfPlace	1.720e-01, 1.719e-01, (1.718e-01, 1.722e-01)	480074941.1904762	139486.52380952382
1	1	60000000	add1IterativeOptInPlace	1.275e-02, 1.274e-02, (1.273e-02, 1.277e-02)	56251639.952380955	82984.57142857143
1	1	60000000	add1IterativeOptOutOfPlace	1.201e-04, 1.380e-04, (1.052e-04, 1.349e-04)	601683.1904761905	70.95238095238095
1	1	70000000	add1RecursiveInPlace	2.879e-02, 2.878e-02, (2.871e-02, 2.886e-02)	280001688.52380955	112945.90476190476
1	1	70000000	add1RecursiveOutOfPlace	2.011e-01, 2.011e-01, (2.009e-01, 2.012e-01)	560087147.2857143	161398.80952380953
1	1	70000000	add1IterativeInPlace	2.885e-02, 2.883e-02, (2.877e-02, 2.894e-02)	280001684.95238096	113039.33333333333
1	1	70000000	add1IterativeOutOfPlace	2.004e-01, 2.003e-01, (2.002e-01, 2.006e-01)	560087154.8095238	160907.7142857143
1	1	70000000	add1IterativeOptInPlace	1.488e-02, 1.486e-02, (1.485e-02, 1.490e-02)	65626636.61904762	96927.76190476191
1	1	70000000	add1IterativeOptOutOfPlace	1.629e-04, 1.610e-04, (1.606e-04, 1.651e-04)	701683.2857142857	73.42857142857143
1	1	80000000	add1RecursiveInPlace	3.288e-02, 3.284e-02, (3.278e-02, 3.297e-02)	320001688.28571427	128913.19047619047
1	1	80000000	add1RecursiveOutOfPlace	2.291e-01, 2.290e-01, (2.289e-01, 2.293e-01)	640099355.8571428	191802.66666666666
1	1	80000000	add1IterativeInPlace	3.290e-02, 3.290e-02, (3.281e-02, 3.298e-02)	320001688.14285713	128807.38095238095
1	1	80000000	add1IterativeOutOfPlace	2.285e-01, 2.286e-01, (2.283e-01, 2.287e-01)	640099364.9523809	187691.2380952381
1	1	80000000	add1IterativeOptInPlace	1.699e-02, 1.698e-02, (1.697e-02, 1.702e-02)	75001640.85714285	110413.66666666667
1	1	80000000	add1IterativeOptOutOfPlace	1.795e-04, 1.840e-04, (1.661e-04, 1.930e-04)	801683.1428571428	70.61904761904762
1	1	90000000	add1RecursiveInPlace	3.684e-02, 3.681e-02, (3.676e-02, 3.691e-02)	360001693.0952381	143150.52380952382
1	1	90000000	add1RecursiveOutOfPlace	2.558e-01, 2.557e-01, (2.556e-01, 2.560e-01)	720111567.2857143	204742.57142857142
1	1	90000000	add1IterativeInPlace	3.681e-02, 3.680e-02, (3.673e-02, 3.689e-02)	360001689.2380952	143101.80952380953
1	1	90000000	add1IterativeOutOfPlace	2.552e-01, 2.551e-01, (2.550e-01, 2.554e-01)	720111566.6190476	211662.57142857142
1	1	90000000	add1IterativeOptInPlace	1.912e-02, 1.911e-02, (1.909e-02, 1.915e-02)	84376639.14285715	123989.95238095238
