"PROGNAME","VARIANT","ARGS","THREADS","MINTIME","MEDIANTIME","MAXTIME","GIT_DEPTH","RUNTIME_FLAGS"
"dataload","Aeson-ReadRandom","1024","1","26.610136","26.624743","26.694407","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","1024","1","54.886596","54.965928","55.022254","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","1024","1","0.261846","0.26198","0.262249","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","1024","1","1.963315","2.579386","32.705345","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","128","1","3.374101","3.379583","3.384087","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","128","1","6.961963","6.975587","6.980565","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","128","1","3.0239e-2","3.0318e-2","3.159e-2","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","128","1","0.246246","0.246483","0.246776","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","16","1","0.41202","0.41301","0.413795","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","16","1","0.875812","0.875911","0.878","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","16","1","4.205e-3","4.306e-3","4.777e-3","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","16","1","3.228e-2","3.2407e-2","3.2419e-2","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","1","1","2.6598e-2","2.6754e-2","2.711e-2","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","1","1","5.5471e-2","5.5678e-2","5.6577e-2","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","1","1","1.024e-3","1.084e-3","1.217e-3","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","1","1","1.729e-3","1.73e-3","1.808e-3","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","256","1","6.689596","6.706726","6.720269","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
